framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1782	2037.29	1782	0.0002	29.4	98.2	100	100	90	12.93	69.8	23.27	0	1376.98	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6495	2.36	193581	61947	3	90.45	3.12	5698	104	1760.75	2227.3	1760.75	0.0001	11	97.6	100	100	90	27.64	59.8	19.93	0	1378.43	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1171	2.26	100009	34722	1	99.5	2.88	1566	119	1842.53	2024.09	1842.53	0.1459	0.5	92	100	99.2	90	17.94	39.8	7.47	0	1379.91	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	746	2.21	59808	15719	1	98.81	3.8	1592	119	1561.17	1827.83	1561.17	0.055	1	99	96	100	90	14.23	29.8	5.8	0	1369.1	0	-0.005	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.85	124.2	46.83	0	1377.12	49.7	-0.001	4	321	234	67	154.88	17543.75
preact	True	745	2.18	27622	10088	1	100	2.74	1024	105	1357.77	1661.65	1357.77	0.0001	0	100	100	100	90	19.1	89.7	29.9	0	1385.19	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1578	120	1432.09	2124.94	1432.09	0.8056	0	79	96	100	90	14.19	74.7	24.9	0	1422.3	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1313	2.31	158538	50256	1	100	3.15	1023	105	1943.91	2249.17	1943.91	0.0002	55.5	96	100	100	90	19.21	93.5	31.17	0	1387.42	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1119	2.18	26458	9243	1	100	2.86	1583	120	1363.25	1548.08	1363.25	0.0001	0	99.4	100	100	90	13.61	49.8	16.6	0	1373.28	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2961	2.27	117668	38612	11	68.6	3.05	1027	105	1675.78	2105.72	1675.78	0	0	98	100	96	90	18	79.5	26.5	0	1373.53	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1279.87	1545.89	1279.87	0.146	0	94	100	96	90	15.56	59.7	19.9	0	1371.34	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	671	2.17	17211	5999	1	96.97	2.87	1023	105	1214.1	1400.95	1214.1	0.0001	0	100	100	100	90	15.05	59.7	10.78	0	1370.7	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1329	2.23	76585	29349	1	100	2.61	1565	119	1658.47	1856.9	1658.47	0.0001	0	99	100	100	90	13.47	64.7	11.62	0	1370.15	0	-0.005	11	677	217	57	686.46	10853.47
