framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1368.1	1892.69	1368.1	0.0002	23.3	99.2	100	100	90	15.3	54.8	18.27	0	1388.73	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6504	2.36	193581	61947	3	90.45	3.12	5506	104	1759.49	2255.31	1759.49	0.0001	9.8	97.4	100	100	90	22.19	54.8	18.27	0	1377.43	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1170	2.26	100009	34722	1	99.5	2.88	1546	119	1803.96	2002.93	1803.96	0.1459	0	92.2	100	99.2	90	15.03	59.6	19.87	0	1378.78	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	747	2.21	59808	15719	1	98.81	3.8	1571	118	1551.95	1858.83	1551.95	0.055	2.8	99	96	100	90	14.86	64.7	21.57	0	1380.76	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.37	84.1	43.88	0	1430.18	49.8	0.001	4	321	234	67	154.88	17543.75
preact	True	739	2.18	27622	10088	1	100	2.74	1024	104	1360.15	1665.23	1360.15	0.0001	0	100	100	100	90	17.21	39.8	7.47	0	1369.33	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1258	2.25	91158	34628	13	100	2.63	1563	118	1432.21	2126.43	1432.21	0.7958	0	79	96	100	90	15.18	34.8	11.6	0	1446.88	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1284	2.31	158538	50256	1	100	3.15	1023	105	1942.21	2248.01	1942.21	0.0001	0.4	97.2	100	100	90	18.54	44.8	14.93	0	1386.59	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1111	2.18	26458	9243	1	100	2.86	1551	119	1361.15	1545.23	1361.15	0.0001	0	99.6	100	100	90	13.31	64.8	21.6	0	1380.04	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2950	2.27	117668	38612	11	68.6	3.05	1028	105	1669.69	2120.29	1669.69	0	0	98	100	96	90	18.68	74.7	24.9	0	1361.11	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.29	1550.85	1250.29	0.146	0	94	100	96	90	16.05	79.8	14.13	0	1372.53	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	659	2.17	17211	5999	1	96.97	2.87	1023	104	1210.53	1394.99	1210.53	0.0001	0	100	100	100	90	14.66	64.7	21.57	0	1392.65	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1351	2.23	76585	29349	1	100	2.61	1562	120	1629.3	1856.35	1629.3	0.0001	0	99	100	100	90	15.29	49.8	16.6	0	1365.41	0	-0.003	11	677	217	57	686.46	10853.47
