framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1661.06	2015.97	1661.06	0.0002	31.6	98.4	100	100	90	13.89	69.7	23.23	0	1088.96	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	6356	2.36	193581	61947	3	90.45	3.12	5500	104	1763.72	2256.23	1763.72	0.0001	10.2	97.4	100	100	90	21.93	84.6	28.2	0	1070.58	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1159	2.26	100009	34722	1	99.5	2.88	1563	117	1825.3	2024.46	1825.3	0.1459	0	92	100	99.2	90	13.91	109.5	36.5	0	1077.2	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	738	2.21	59808	15719	1	98.81	3.8	1566	119	1547.46	1853.49	1547.46	0.055	1.2	99	96	100	90	13.6	104.4	34.8	0	1080.24	0	-0.005	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.88	134.3	46.83	0	1054.09	39.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	744	2.18	27622	10088	1	100	2.74	1024	104	1362.29	1670.24	1362.29	0.0001	0	99.8	100	100	90	13.86	99.5	17.42	0	1069.61	0	-0.009	12	776	461	101	585.8	25344.18
qwik	True	1227	2.25	91158	34628	13	100	2.63	1572	119	1417.03	2124.01	1417.03	1.0075	0	74	96	100	90	12.56	124.5	41.5	0	1071.61	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1266	2.31	158538	50256	1	100	3.15	1022	105	1929.36	2239.04	1929.36	0.0001	60.8	96	100	100	90	20.6	79.7	26.57	0	1072.16	0	0	13	762	438	90	634.69	24213.69
solid	True	1112	2.18	26458	9243	1	100	2.86	1558	118	1388.99	1543.69	1388.99	0.0001	0	99.8	100	100	90	13.64	64.7	21.57	0	1082.8	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2905	2.27	117668	38612	11	68.6	3.05	1025	104	1671.49	2092.12	1671.49	0	0	98.2	100	96	90	14.91	64.7	21.57	0	1057.96	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.93	1535.78	1246.93	0.146	0	94	100	96	90	12.57	99.6	33.2	0	1065.57	0	-0.016	3	560	426	74	71.69	20768.9
vanjs	True	648	2.17	17211	5999	1	96.97	2.87	1024	104	1217.7	1423.5	1217.7	0.0001	0	100	100	100	90	13.24	109.5	36.5	0	1053.73	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1327	2.23	76585	29349	1	100	2.61	1566	119	1658.13	1854.99	1658.13	0.0001	0	99	100	100	90	12.97	119.5	39.83	0	1077.13	0	-0.007	11	677	217	57	686.46	10853.47
