framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1773.53	2028.66	1773.53	0.0002	28	98.2	100	100	90	14.2	119.5	39.83	0	1092.82	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6500	2.36	193581	61947	3	90.45	3.12	5702	104	1760.56	2256.75	1760.56	0.0001	11.4	97.4	100	100	90	15.59	74.7	24.9	0	1083.95	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1150	2.26	100009	34722	1	99.5	2.88	1581	119	1789.46	2005.95	1789.46	0.1459	1	92.4	100	99.2	90	14.76	124.5	41.5	0	1070.31	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	748	2.21	59808	15719	1	98.81	3.8	1594	119	1550.94	1857.3	1550.94	0.055	2.2	99	96	100	90	14.35	114.5	38.17	0	1076.68	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.25	149.1	49.75	0	1076.94	44.7	0.001	4	321	234	67	154.88	17543.75
preact	True	753	2.18	27622	10088	1	100	2.74	1024	105	1360.4	1665.6	1360.4	0.0001	0	99.6	100	100	90	13.86	84.5	28.17	0	1061.7	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1240	2.25	91158	34628	13	100	2.63	1594	120	1418.14	2129.8	1418.14	0.8056	0	79	96	100	90	12.86	104.5	34.83	0	1076.62	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1336	2.31	158538	50256	1	100	3.15	1025	105	1940.77	2245.55	1940.77	0.0001	40	96.6	100	100	90	18.67	99.6	33.2	0	1080.12	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1117	2.18	26458	9243	1	100	2.86	1569	119	1389.87	1543.11	1389.87	0.0001	0	99.8	100	100	90	12.79	134.5	23.25	0	1076.17	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	2953	2.27	117668	38608	11	68.6	3.05	1027	105	1669.19	2058.73	1669.19	0	0	98.2	100	96	90	13.21	99.6	33.2	0	1052.91	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.42	1553.7	1246.42	0.146	0	94	100	96	90	14.86	114.4	38.13	0	1081.51	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	669	2.17	17211	5999	1	96.97	2.87	1024	105	1209.97	1392.55	1209.97	0.0001	0	100	100	100	90	15.49	74.7	24.9	0	1055.11	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1361	2.23	76585	29349	1	100	2.61	1567	118	1659.5	1856.24	1659.5	0.0001	0	99	100	100	90	14.68	89.6	29.87	0	1071.91	0	-0.006	11	677	217	57	686.46	10853.47
