framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1460.55	1875.65	1460.55	0.0002	0	99	100	100	90	13.91	25	8.33	0	1099.27	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	4205	2.36	193581	61947	3	90.45	3.12	3441	103	1750.56	2267.72	1750.56	0.0001	0	97.2	100	100	90	11.52	10	5	0	1102.34	10	-0.008	13	859	484	89	616.31	29894.72
jquery	True	733	2.26	100009	34722	1	99.5	2.88	1375	111	1812.86	2002.99	1812.86	0.1459	0	92	100	99.2	90	13.41	40	13.33	0	1090.27	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	470	2.21	59808	15719	1	98.81	3.8	1429	111	1536.09	1839.63	1536.09	0.055	0	99	96	100	90	14.56	30	11.67	0	1081.7	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	23.21	84.8	28.3	0	1084.99	25	-0.003	4	321	234	67	154.88	17543.75
preact	True	458	2.18	27622	10088	1	100	2.74	1019	104	1356.07	1599.1	1356.07	0.0001	0	100	100	100	90	20.34	64.9	21.63	0	1079.5	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	778	2.25	91158	34628	13	100	2.63	1333	111	1415.02	2116.51	1415.02	0.5995	0	84	96	100	90	15.03	30	10	0	1101.18	0	-0.005	16	754	415	83	861.8	26425.59
react	True	801	2.31	158538	50256	1	100	3.15	1018	104	1955.62	2258.42	1955.62	0.0001	0	97	100	100	90	13.73	0	0	0	1077.74	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	706	2.18	26458	9243	1	100	2.86	1336	110	1379.45	1532.47	1379.45	0.0001	0	100	100	100	90	18.7	64.9	21.63	0	1094.28	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	1836	2.27	117670	38611	11	68.6	3.05	1017	104	1661.82	2081.26	1661.82	0	0	98.2	100	96	90	14	35	11.67	0	1083.59	0	0.009	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1228.69	1519.79	1228.69	0.146	0	94	100	96	90	14.54	40	7.5	0	1089.55	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	401	2.17	17211	5999	1	96.97	2.87	1016	103	1206.71	1381.47	1206.71	0.0001	0	100	100	100	90	13.75	30	10	0	1086.67	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	826	2.23	76585	29349	1	100	2.61	1359	111	1656.76	1840.53	1656.76	0.0001	0	99	100	100	90	14.64	30	10	0	1078.41	0	-0.007	11	677	217	57	686.46	10853.47
