framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1462.91	1878.9	1462.91	0.0003	0	99	100	100	90	14.28	5	1.67	0	1466.5	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	4145	2.32	158642	51430	1	100	3.08	4050	104	1955.55	2298.33	1955.55	0.0001	0	97	100	100	90	23.73	20	8.33	0	1462.63	10	-0.005	13	764	424	88	631.62	27036.12
astro	True	1134	2.17	11475	3814	1	100	3.01	1867	108	1207.48	1508.46	1207.48	0	0	100	100	100	90	25.03	50	16.67	0	1438.97	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	877	2.19	32881	9964	1	98.43	3.3	1015	105	1532.99	1687.29	1532.99	0.0001	0	99	100	100	90	22.45	15	3.33	0	1416.27	0	-0.011	13	713	452	91	678.96	24340.98
jquery	True	800	2.26	100009	34722	1	99.5	2.88	1026	106	1840.22	1987.17	1840.22	0.1459	0	92	100	99.2	90	23.37	20	6.67	0	1473.37	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	515	2.21	59808	15719	1	98.81	3.8	1020	105	1537.56	1840.84	1537.56	0.055	0	99	96	100	90	16.25	25	5	0	1461.34	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1207.36	1685.03	1207.36	0.0002	0	100	100	100	100	15.59	5	1.67	0	1392.78	0	-0.005	4	321	234	67	154.88	17543.75
octane	True	1315	2.3	148231	46596	1	100	3.18	1017	105	1986.74	2261.91	1986.74	0.0001	0	97	100	100	90	15.4	25	8.33	0	1442.94	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	505	2.18	27622	10088	1	100	2.74	1018	105	1356.69	1630.04	1356.69	0.0001	0	100	100	100	90	14.67	0	0	0	1420.77	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	860	2.25	91158	34628	13	100	2.63	1024	106	1437.55	2118.04	1437.55	0.8155	0	78.8	96	100	90	18.53	45	15	0	1393.98	0	-0.004	16	754	415	83	861.8	26425.59
react	True	821	2.31	158538	50256	1	100	3.15	1020	105	1942.32	2263.1	1942.32	0.0001	532.13	90	100	100	90	25.86	30	10	0	1438.53	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	694	2.18	26458	9243	1	100	2.86	1018	105	1381.18	1534.27	1381.18	0.0001	0	100	100	100	90	15.27	20	6.67	0	1384.18	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	1961	2.27	117668	38610	11	68.6	3.05	1352	115	1665.93	2083.65	1665.93	0	7.8	98.2	100	96	90	15.95	15	5	0	1435.67	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1237.97	1536.36	1237.97	0.146	0	94	100	96	90	31.8	40	13.33	0	1410.08	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	466	2.17	17211	5999	1	96.97	2.87	1017	104	1207.52	1384.48	1207.52	0.0001	0	100	100	100	90	15.31	15	5	0	1423.51	0	0.001	3	743	388	76	74.17	22895.14
vue	True	845	2.23	76585	29349	1	100	2.61	1019	105	1658.18	1845.08	1658.18	0.0001	0	99	100	100	90	15.19	15	5	0	1427.68	0	-0.004	11	677	217	57	686.46	10853.47
