framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1364.41	1877.09	1364.41	0.0002	0	99.2	100	100	90	19.37	74.8	13.3	0	1442.17	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	3984	2.32	158642	51430	1	100	3.08	3448	103	1969.26	2301.69	1969.26	0.0001	0	97	100	100	90	19.95	54.9	9.98	0	1457.76	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	808	2.17	11475	3814	1	100	3.01	1450	106	1178.5	1508.5	1178.5	0.0001	0	100	100	100	90	19.12	64.7	21.57	0	1414.16	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	627	2.19	32881	9964	1	98.43	3.3	1014	104	1529.91	1683.76	1529.91	0.0001	0	99	100	100	90	17.99	84.8	28.27	0	1419.99	0	-0.007	13	713	452	91	678.96	24340.98
jquery	True	701	2.26	100009	34722	1	99.5	2.88	1021	105	1822.99	2000.99	1822.99	0.1459	0	92	100	99.2	90	19.42	79.7	26.57	0	1430.01	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	442	2.21	59808	15719	1	98.81	3.8	1015	104	1537.21	1842.31	1537.21	0.044	0	99	96	100	90	13.69	40	13.33	0	1453.86	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1209.93	1705.33	1209.93	0.0002	0	100	100	100	100	17.68	74.8	13.3	0	1437.01	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	1222	2.3	148231	46596	1	100	3.18	1015	104	1987.58	2262.87	1987.58	0.0001	0	97	100	100	90	17.74	89.7	29.9	0	1405.42	0	-0.004	12	741	421	89	579.82	24098.68
preact	True	437	2.18	27622	10088	1	100	2.74	1014	103	1357.69	1661.53	1357.69	0.0001	0	100	100	100	90	19.11	69.8	12.47	0	1436.42	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	784	2.25	91158	34628	13	100	2.63	1020	105	1415.65	2118.99	1415.65	0.4035	0	89	96	100	90	18.38	79.8	14.13	0	1424.1	0	-0.008	16	754	415	83	861.8	26425.59
react	True	822	2.31	158538	50256	1	100	3.15	1015	104	1948.11	2251.86	1948.11	0.0001	127.6	93.8	100	100	90	19.51	49.9	16.63	0	1390.67	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	748	2.18	26458	9243	1	100	2.86	1014	104	1382.01	1535.61	1382.01	0.0001	0	100	100	100	90	17.18	64.8	11.63	0	1416.48	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	1769	2.27	117670	38607	11	68.6	3.05	1301	114	1664.18	2082.83	1664.18	0	1.2	98.2	100	96	90	20.19	94.5	31.5	0	1378.31	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1230.36	1517.01	1230.36	0.146	0	94	100	96	90	18.91	49.9	16.63	0	1419.79	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	386	2.17	17211	5999	1	96.97	2.87	1016	104	1208.54	1383.61	1208.54	0.0001	0	100	100	100	90	19.47	79.2	26.4	0	1420.07	0	0.001	3	743	388	76	74.17	22895.14
vue	True	826	2.23	76585	29349	1	100	2.61	1015	104	1626.28	1839.23	1626.28	0.0001	0	99	100	100	90	13.09	30	10	0	1433	0	-0.004	11	677	217	57	686.46	10853.47
