framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1468.61	1895	1468.61	0.0002	24.7	99	100	100	90	14.45	69.7	23.23	0	1415.89	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6483	2.32	158642	51430	1	100	3.08	5687	105	1960.97	2321.06	1960.97	0.0001	10	97	100	100	90	21.82	64.8	21.6	0	1385.21	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1391	2.17	11475	3814	1	100	3.01	2289	109	1207.88	1507.88	1207.88	0	0	100	100	100	90	15.81	64.8	11.63	0	1404.89	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	988	2.19	32881	9964	1	98.43	3.3	1021	105	1545.8	1703.2	1545.8	0.0001	2.2	99	100	100	90	17.25	59.7	19.9	0	1393.19	0	-0.014	13	713	452	91	678.96	24340.98
jquery	True	1151	2.26	100009	34722	1	99.5	2.88	1034	107	1817.57	2012.15	1817.57	0.1459	0	92	100	99.2	90	20.43	64.8	11.63	0	1418.36	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	739	2.21	59808	15719	1	98.81	3.8	1023	105	1551.73	1858.6	1551.73	0.055	2.2	99	96	100	90	16.7	74.6	24.87	0	1405.56	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1186.43	1714.57	1186.43	0.0002	0	100	100	100	100	17.71	89.5	29.83	0	1403.99	0	-0.005	4	321	234	67	154.88	17543.75
octane	True	2101	2.3	148231	46596	1	100	3.18	1021	105	2002.45	2266.58	2002.45	0.0002	0	97	100	100	90	16.14	64.7	21.57	0	1394.08	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	739	2.18	27622	10088	1	100	2.74	1023	106	1359.89	1664.84	1359.89	0.0001	0	99.8	100	100	90	16.81	79.5	26.5	0	1386.85	0	-0.015	12	776	461	101	585.8	25344.18
qwik	True	1258	2.25	91158	34628	13	100	2.63	1031	107	1418.01	2126.29	1418.01	0.8322	0	79	96	100	90	17.13	44.8	14.93	0	1446.34	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1318	2.31	158538	50256	1	100	3.15	1023	105	1942.16	2248.45	1942.16	0.0002	11.9	97.2	100	100	90	15.13	64.8	21.6	0	1396	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1146	2.18	26458	9243	1	100	2.86	1023	105	1393.38	1548.97	1393.38	0.0001	0	99.4	100	100	90	17.86	54.6	9.93	0	1374.82	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2949	2.27	117668	38609	11	68.6	3.05	1706	120	1668.47	2088.95	1668.47	0	0	98.2	100	96	90	16.99	89.7	29.9	0	1374.95	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.19	1549.99	1249.19	0.146	0	94	100	96	90	16	54.8	7.2	0	1401.66	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	645	2.17	17211	5999	1	96.97	2.87	1024	105	1209.22	1393.23	1209.22	0.0001	0	100	100	100	90	13.57	54.8	18.27	0	1396.85	0	0	3	743	388	76	74.17	22895.14
vue	True	1340	2.23	76585	29349	1	100	2.61	1022	105	1659.21	1857.02	1659.21	0.0001	0	99	100	100	90	13.7	64.8	11.63	0	1412.05	0	-0.004	11	677	217	57	686.46	10853.47
