framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1672.64	2027.36	1672.64	0.0002	17.6	98.4	100	100	90	17.79	24.9	8.3	0	1382.14	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	6549	2.36	193581	61947	3	90.45	3.12	5506	104	1765.24	2258.05	1765.24	0.0001	12.6	97.4	100	100	90	30.13	54.8	24.9	0	1392.75	15	0.002	13	859	484	89	616.31	29894.72
jquery	True	1209	2.26	100009	34722	1	99.5	2.88	1584	120	1823.39	1998.39	1823.39	0.1459	0.5	92.2	100	99.2	90	18.49	109.2	36.4	0	1393.92	0	-0.005	3	481	287	45	87.4	18604.14
lit	True	764	2.21	59808	15719	1	98.81	3.8	1618	119	1548.9	1853.65	1548.9	0.055	3.6	99	96	100	90	16.11	124.2	21.53	0	1378.46	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.23	193.2	57.12	0	1400.57	44.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	743	2.18	27622	10088	1	100	2.74	1024	105	1362.37	1670.55	1362.37	0.0001	0	99.6	100	100	90	19.63	74.6	24.87	0	1360.09	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1565	119	1418.37	2129.14	1418.37	1.0057	0	74	96	100	90	21.82	124.4	41.47	0	1439.82	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1322	2.31	158538	50256	1	100	3.15	1024	105	1941.48	2246.62	1941.48	0.0001	5	97.2	100	100	90	18.12	124.5	41.5	0	1385.49	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	1114	2.18	26458	9243	1	100	2.86	1565	118	1393.64	1548.57	1393.64	0.0001	0	99.2	100	100	90	22.64	134.2	44.73	0	1381.5	0	0	12	786	458	98	581.44	26202.05
svelte	True	2908	2.27	117668	38612	11	68.6	3.05	1029	105	1671.56	2090.61	1671.56	0	0	98.2	100	96	90	19.35	109.6	36.53	0	1362.86	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1275.45	1533.07	1275.45	0.146	0	94	100	96	90	18.69	5	1.67	0	1376.48	0	-0.005	3	560	426	74	71.69	20768.9
vanjs	True	665	2.17	17211	5999	1	96.97	2.87	1025	105	1213.54	1399.72	1213.54	0.0001	0	100	100	100	90	17.96	39.8	13.27	0	1378.61	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1340	2.23	76585	29349	1	100	2.61	1561	119	1608.39	1868.79	1608.39	0.0001	0	99	100	100	90	21.79	124.4	41.47	0	1372.39	0	-0.006	11	677	217	57	686.46	10853.47
