framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1369.38	1894.76	1369.38	0.0003	10.4	99.2	100	100	90	15.98	59.8	11.63	0	1450.57	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	5579	2.36	193581	61947	3	90.45	3.12	4869	104	1759.21	2279.09	1759.21	0.0001	4.4	97.2	100	100	90	24.75	35	11.67	0	1411.4	0	-0.002	13	859	484	89	616.31	29894.72
jquery	True	1005	2.26	100009	34722	1	99.5	2.88	1509	115	1844.19	2018.59	1844.19	0.1459	0	92	100	99.2	90	13.17	44.9	8.32	0	1374.99	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	642	2.21	59808	15719	1	98.81	3.8	1518	115	1546.04	1851.25	1546.04	0.055	0	99	96	100	90	14.3	44.9	14.97	0	1366.45	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.43	84.8	36.13	0	1384.66	29.9	-0.001	4	321	234	67	154.88	17543.75
preact	True	653	2.18	27622	10088	1	100	2.74	1021	105	1357.46	1631.19	1357.46	0.0001	0	100	100	100	90	13.9	49.8	9.97	0	1388.51	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1094	2.25	91158	34628	13	100	2.63	1498	115	1417.77	2125.54	1417.77	0.4037	0	88.8	96	100	90	15.02	44.9	14.97	0	1387.91	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1108	2.31	158538	50256	1	100	3.15	1021	105	1941.25	2246.77	1941.25	0.0001	37.1	96.6	100	100	90	15.57	25	5	0	1386.84	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	951	2.18	26458	9243	1	100	2.86	1510	117	1384.97	1537.46	1384.97	0.0001	0	100	100	100	90	14.02	54.9	18.3	0	1369.97	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2545	2.27	117670	38614	11	68.6	3.05	1026	104	1670.05	2087.19	1672.59	0	0	98.2	100	96	90	16.47	44.9	14.97	0	1374.66	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.37	1541.89	1241.37	0.146	0	94	100	96	90	13.3	39.9	13.3	0	1375.94	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	552	2.17	17211	5999	1	96.97	2.87	1021	104	1212.84	1396.86	1212.84	0.0001	0	100	100	100	90	15.12	49.9	16.63	0	1369.42	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1138	2.23	76585	29349	1	100	2.61	1504	116	1658.71	1852.46	1658.71	0.0001	0	99	100	100	90	13.82	44.9	8.32	0	1382.39	0	-0.004	11	677	217	57	686.46	10853.47
