framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1659.32	2014.3	1659.32	0.0002	3	98.4	100	100	90	13.9	34.9	11.63	0	1448.1	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4748	2.36	193581	61947	3	90.45	3.12	4046	103	1757.09	2240.71	1757.09	0.0001	0	97.4	100	100	90	20.19	74.8	24.93	0	1464.57	0	-0.002	13	859	484	89	616.31	29894.72
jquery	True	847	2.26	100009	34722	1	99.5	2.88	1429	112	1826.42	2009.83	1826.42	0.1459	0	92	100	99.2	90	15.48	35	11.67	0	1458.8	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	538	2.21	59808	15719	1	98.81	3.8	1440	113	1537.78	1841.27	1537.78	0.055	0	99	96	100	90	15.33	30	10	0	1470.4	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	28.68	129.6	35.29	0	1392.61	34.9	0	4	321	234	67	154.88	17543.75
preact	True	547	2.18	27622	10088	1	100	2.74	1019	103	1358.95	1665.22	1358.95	0.0001	0	99.8	100	100	90	15.2	25	8.33	0	1463.85	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	926	2.25	91158	34628	13	100	2.63	1431	112	1431.33	2121.38	1431.33	0.6164	0	83.8	96	100	90	15.05	30	10	0	1405.73	0	-0.004	16	754	415	83	861.8	26425.59
react	True	924	2.31	158538	50256	1	100	3.15	1017	104	1958.3	2262.45	1958.3	0.0001	0	97	100	100	90	15.98	35	11.67	0	1449.07	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	798	2.18	26458	9243	1	100	2.86	1428	112	1383.97	1537.76	1383.97	0.0001	0	100	100	100	90	14.55	10	3.33	0	1435.13	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2147	2.27	117670	38612	11	68.6	3.05	1018	103	1661.93	2112.37	1661.93	0	0	98	100	96	90	19.92	74.8	24.93	0	1394.64	0	-0.001	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.36	1534.68	1238.36	0.1461	0	94	100	96	90	15.65	45	15	0	1444.03	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	460	2.17	17211	5999	1	96.97	2.87	1019	103	1209.54	1388.11	1209.54	0.0001	0	100	100	100	90	18.75	109.8	36.6	0	1401.13	0	0.002	3	743	388	76	74.17	22895.14
vue	True	968	2.23	76585	29349	1	100	2.61	1423	111	1626.55	1845.42	1626.55	0.0001	0	99	100	100	90	20.7	79.8	26.6	0	1434.72	0	-0.003	11	677	217	57	686.46	10853.47
