framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1664.2	2042.85	1664.2	0.0002	23.2	98.4	100	100	90	14.58	64.6	21.53	0	1073.14	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	6558	2.36	193581	61947	3	90.45	3.12	5490	104	1761.59	2282.98	1761.59	0.0001	7.6	97.2	100	100	90	16.39	94.3	31.43	0	1062.08	0	-0.016	13	859	484	89	616.31	29894.72
jquery	True	1126	2.26	100009	34722	1	99.5	2.88	1553	118	1835.69	2017.93	1835.69	0.1459	0	92	100	99.2	90	13.15	69.8	23.27	0	1067.58	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	728	2.21	59808	15719	1	98.81	3.8	1567	119	1546.74	1852.41	1546.74	0.055	1.4	99	96	100	90	16.45	99.6	33.2	0	1079.2	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.86	129.6	47.7	0	1063.47	44.7	-0.003	4	321	234	67	154.88	17543.75
preact	True	735	2.18	27622	10088	1	100	2.74	1024	104	1359.7	1664.54	1359.7	0.0001	0	99.8	100	100	90	17.56	54.7	18.23	0	1081.25	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1223	2.25	91158	34628	13	100	2.63	1554	119	1417.01	2123.75	1417.01	0.4021	0	89	96	100	90	16.84	89.6	29.87	0	1080.31	0	-0.009	16	754	415	83	861.8	26425.59
react	True	1262	2.31	158538	50256	1	100	3.15	1023	105	1938.54	2242.61	1938.54	0.0002	65.4	95.6	100	100	90	17.91	99.5	33.17	0	1067.23	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1096	2.18	26458	9243	1	100	2.86	1556	119	1362.49	1547.84	1362.49	0.0001	0	99.4	100	100	90	16.37	99.4	33.13	0	1059.11	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2873	2.27	117670	38613	11	68.6	3.05	1028	105	1666.92	2086.37	1666.92	0	0	98.2	100	96	90	15.09	64.8	21.6	0	1063.03	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.43	1546.58	1250.43	0.146	0	94	100	96	90	17.69	74.7	24.9	0	1060.41	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	643	2.17	17211	5999	1	96.97	2.87	1023	104	1207.94	1389.32	1207.94	0.0001	0	100	100	100	90	18.11	74.6	24.87	0	1056.07	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1319	2.23	76585	29349	1	100	2.61	1565	119	1628.04	1852.06	1628.04	0.0001	0	99	100	100	90	17.82	74.7	24.9	0	1077.8	0	-0.006	11	677	217	57	686.46	10853.47
