framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1559	2010.37	1559	0.0002	0	98.6	100	100	90	13.69	30	10	0	1109.77	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	4075	2.36	193581	61947	3	90.45	3.12	3442	103	1748.84	2294.37	1748.84	0.0001	54.14	96	100	100	90	13.59	54.9	18.3	0	1087.83	0	-0.008	13	859	484	89	616.31	29894.72
jquery	True	729	2.26	100009	34722	1	99.5	2.88	1375	111	1822.89	2004.43	1822.89	0.1459	0	92	100	99.2	90	14.94	40	13.33	0	1096.95	0	-0.015	3	481	287	45	87.4	18604.14
lit	True	458	2.21	59808	15719	1	98.81	3.8	1378	111	1534.51	1838.57	1534.51	0.044	0	99	96	100	90	15.07	40	13.33	0	1089.07	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	14.83	54.9	24.56	0	1093.39	29.9	-0.004	4	321	234	67	154.88	17543.75
preact	True	451	2.18	27622	10088	1	100	2.74	1016	104	1401.8	1727.7	1401.8	0.0001	11.86	99.8	100	100	90	15.68	45	15	0	1090.72	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	763	2.25	91158	34628	13	100	2.63	1344	110	1415.29	2117.34	1415.29	0.7913	0	79	96	100	90	23.39	20	6.67	0	1097.16	0	-0.004	16	754	415	83	861.8	26425.59
react	True	790	2.31	158538	50256	1	100	3.15	1016	104	1957.3	2260.96	1957.3	0.0001	0	97	100	100	90	20.83	69.8	23.27	0	1083.3	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	683	2.18	26458	9243	1	100	2.86	1374	111	1380.7	1534.35	1380.7	0.0001	0	100	100	100	90	15.23	45	15	0	1080.98	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	1888	2.27	117668	38614	11	68.6	3.05	1017	103	1664.04	2112.91	1664.04	0	0	98	100	96	90	13.43	15	5	0	1067.25	0	0.009	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1230.61	1522.42	1230.61	0.1459	0	94	100	96	90	27.11	30	10	0	1084.33	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	403	2.17	17211	5999	1	96.97	2.87	1017	103	1205.36	1378.65	1205.36	0.0001	0	100	100	100	90	14.85	40	13.33	0	1095.45	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	834	2.23	76585	29349	1	100	2.61	1361	110	1628.81	1843.02	1628.81	0.0001	0	99	100	100	90	15.24	40	13.33	0	1089.83	0	-0.006	11	677	217	57	686.46	10853.47
