framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1756.8	1881.52	1756.8	0.0002	2.8	98.4	100	100	90	17.37	129.6	43.2	0	1089.67	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	4907	2.36	193581	61947	3	90.45	3.12	4266	104	1752.72	2271.34	1752.72	0.0001	0.4	97.2	100	100	90	17.01	99.7	17.45	0	1082.15	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	896	2.26	100009	34722	1	99.5	2.88	1430	114	1813.67	2008.61	1813.67	0.1459	0	92	100	99.2	90	16.29	124.4	41.47	0	1094.07	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	554	2.21	59808	15719	1	98.81	3.8	1423	113	1536.92	1840.77	1536.92	0.055	0	99	96	100	90	17.38	99.5	33.17	0	1090.54	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.92	114.4	40.27	0	1085.1	29.9	-0.004	4	321	234	67	154.88	17543.75
preact	True	559	2.18	27622	10088	1	100	2.74	1018	104	1358.67	1664.4	1358.67	0.0001	0	99.8	100	100	90	18.61	109.6	36.53	0	1094.4	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	916	2.25	91158	34628	13	100	2.63	1391	114	1400.61	2119.28	1400.61	0.7957	0	79	96	100	90	17.99	99.7	33.23	0	1107.67	0	-0.008	16	754	415	83	861.8	26425.59
react	True	977	2.31	158538	50256	1	100	3.15	1018	104	1958.82	2263.24	1958.82	0.0001	0	97	100	100	90	16.81	124.5	41.5	0	1081.7	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	842	2.18	26458	9243	1	100	2.86	1369	114	1290.64	1533.26	1290.64	0.0001	0	100	100	100	90	14.5	15	5	0	1070.1	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	2163	2.27	117668	38612	11	68.6	3.05	1019	104	1665.21	2083.73	1665.21	0	0	98.2	100	96	90	17.75	119.6	39.87	0	1072.89	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.83	1523.77	1238.83	0.146	0	94	100	96	90	18.72	124.5	41.5	0	1088.7	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	497	2.17	17211	5999	1	96.97	2.87	1019	103	1209.7	1385.95	1209.7	0.0001	0	100	100	100	90	15.24	94.6	31.53	0	1068.21	0	0	3	743	388	76	74.17	22895.14
vue	True	990	2.23	76585	29349	1	100	2.61	1421	114	1598.1	1845.36	1598.1	0.0001	0	99	100	100	90	17.79	59.8	19.93	0	1091.34	0	-0.008	11	677	217	57	686.46	10853.47
