framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1468.28	1894.75	1468.28	0.0003	16.6	99	100	100	90	18.59	74.6	24.87	0	1076.92	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6107	2.36	193581	61947	3	90.45	3.12	5083	104	1758.4	2313.03	1758.4	0.0001	7.4	97	100	100	90	14.47	64.8	21.6	0	1081.04	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1114	2.26	100009	34722	1	99.5	2.88	1555	118	1833.59	2022.18	1833.59	0.1459	0	92	100	99.2	90	13.25	59.8	19.93	0	1066.61	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	721	2.21	59808	15719	1	98.81	3.8	1558	117	1545.19	1850.49	1545.19	0.055	3	99	96	100	90	21.62	84.7	28.23	0	1057.41	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.45	114.6	46.87	0	1060.94	49.8	0	4	321	234	67	154.88	17543.75
preact	True	713	2.18	27622	10088	1	100	2.74	1023	104	1362.51	1670.46	1362.51	0.0001	0	99.4	100	100	90	15.43	69.8	12.47	0	1061.86	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1176	2.25	91158	34628	13	100	2.63	1551	119	1432.88	2126.99	1432.88	0.9971	0	74	96	100	90	14.61	54.8	18.27	0	1068.05	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1229	2.31	158538	50256	1	100	3.15	1023	105	1940.33	2245.19	1940.33	0.0001	50.6	96.2	100	100	90	20.58	74.7	24.9	0	1073.02	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1079	2.18	26458	9243	1	100	2.86	1551	119	1390.64	1544.66	1390.64	0.0001	1.6	99.6	100	100	90	19.98	89.7	29.9	0	1075.85	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2795	2.27	117668	38611	11	68.6	3.05	1033	104	1668.56	2088.81	1668.56	0	0	98.2	100	96	90	17.64	79.7	26.57	0	1064.39	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.93	1533.04	1248.93	0.1461	0	94	100	96	90	15.27	64.8	21.6	0	1068.09	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	641	2.17	17211	5999	1	96.97	2.87	1023	104	1206.96	1388.03	1206.96	0.0001	0	100	100	100	90	17.96	79.7	26.57	0	1071.31	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1289	2.23	76585	29349	1	100	2.61	1540	118	1659.53	1854.09	1659.53	0.0001	0	99	100	100	90	14.44	49.8	16.6	0	1077.78	0	-0.006	11	677	217	57	686.46	10853.47
