framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1371.26	1908.43	1371.26	0.0002	26.3	99.2	100	100	90	14.44	64.7	21.57	0	1080.21	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6468	2.36	193581	61947	3	90.45	3.12	5496	104	1759.64	2255.41	1759.64	0.0001	9.6	97.4	100	100	90	14.82	54.8	18.27	0	1085.79	0	-0.016	13	859	484	89	616.31	29894.72
jquery	True	1138	2.26	100009	34722	1	99.5	2.88	1563	119	1824.82	2023.23	1824.82	0.1459	0	92	100	99.2	90	13.04	64.8	21.6	0	1079.65	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	730	2.21	59808	15719	1	98.81	3.8	1578	119	1549.95	1856.93	1549.95	0.055	5.6	99	96	100	90	12.89	49.8	9.13	0	1074.63	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	30.1	134.2	46.42	0	1074.25	44.8	-0.005	4	321	234	67	154.88	17543.75
preact	True	731	2.18	27622	10088	1	100	2.74	1024	104	1359.26	1663.89	1359.26	0.0001	0	99.8	100	100	90	14.75	54.8	9.97	0	1075.21	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1580	120	1431.71	2124.05	1431.71	0.804	0	79	96	100	90	13.53	79.7	26.57	0	1088.48	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1268	2.31	158538	50256	1	100	3.15	1024	105	1938.68	2243.22	1938.68	0.0001	46.2	96.2	100	100	90	18.75	64.3	21.43	0	1068.47	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1087	2.18	26458	9243	1	100	2.86	1564	120	1389.13	1543.29	1389.13	0.0001	0	99.8	100	100	90	14.55	69.8	23.27	0	1069.49	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2859	2.27	117670	38612	11	68.6	3.05	1026	105	1671.06	2091.88	1671.06	0	0	98	100	96	90	16.77	79.7	26.57	0	1054.64	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.12	1555.76	1248.12	0.146	0	94	100	96	90	17.26	79.7	26.57	0	1078.86	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	641	2.17	17211	5999	1	96.97	2.87	1024	104	1213.09	1397.64	1213.09	0.0001	0	100	100	100	90	16.39	69.7	23.23	0	1052.88	0	0	3	743	388	76	74.17	22895.14
vue	True	1316	2.23	76585	29349	1	100	2.61	1566	119	1658.13	1855	1658.13	0.0001	0	99	100	100	90	15.82	99.4	33.13	0	1072.53	0	-0.006	11	677	217	57	686.46	10853.47
