framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.62	2021.22	1760.62	0.0002	26.4	98.2	100	100	90	18.96	129.2	43.07	0	1405.02	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	6337	2.32	158642	51430	1	100	3.08	5491	104	1961.63	2321.05	1961.63	0.0001	6	97	100	100	90	23.08	109.5	36.5	0	1383.73	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1365	2.17	11475	3814	1	100	3.01	2286	108	1210.15	1510.15	1210.15	0	0	100	100	100	90	14.69	79.6	14.1	0	1380.89	0	-0.002	4	546	372	73	159.38	18153.98
geajs	True	940	2.19	32881	9964	1	98.43	3.3	1020	105	1505.88	1697.12	1505.88	0.0001	4.2	99	100	100	90	14.67	129.3	22.38	0	1384.95	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	1147	2.26	100009	34722	1	99.5	2.88	1033	106	1833.34	2022.72	1833.34	0.1459	0	92	100	99.2	90	14.64	119.4	20.73	0	1374.75	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	736	2.21	59808	15719	1	98.81	3.8	1022	104	1548.52	1854.67	1548.52	0.055	3.6	99	96	100	90	13.09	99.5	33.17	0	1373.62	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1281.82	1711.14	1281.82	0.0001	0	99.8	100	100	100	14.21	119.4	39.8	0	1390.68	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	2029	2.3	148231	46596	1	100	3.18	1021	105	2002.38	2267.97	2002.38	0.0002	0	97	100	100	90	13.16	119.5	39.83	0	1391.94	0	-0.011	12	741	421	89	579.82	24098.68
preact	True	723	2.18	27622	10088	1	100	2.74	1023	105	1360.48	1665.72	1360.48	0.0001	0	99.6	100	100	90	17.16	114.5	38.17	0	1376.24	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1222	2.25	91158	34628	13	100	2.63	1030	106	1432.46	2126.4	1432.46	1.0074	0	74	96	100	90	15.25	119.4	39.8	0	1448	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1253	2.31	158538	50256	1	100	3.15	1022	105	1948.87	2253.3	1948.87	0.0002	46.4	96.2	100	100	90	12.97	114.6	38.2	0	1384.86	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	1091	2.18	26458	9243	1	100	2.86	1023	105	1392.45	1546.97	1392.45	0.0001	0	99.4	100	100	90	15.01	119.3	39.77	0	1376.21	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2859	2.27	117670	38608	11	68.6	3.05	1692	122	1676.69	2067.32	1676.69	0	0	98.2	100	96	90	13.37	134.3	44.77	0	1372.45	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1280.82	1541.69	1280.82	0.1461	0	94	100	96	90	14.98	124.4	41.47	0	1383.08	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	633	2.17	17211	5999	1	96.97	2.87	1024	104	1208.06	1392.69	1208.06	0.0001	0	100	100	100	90	19.39	129.4	43.13	0	1397.11	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1294	2.23	76585	29349	1	100	2.61	1022	104	1639.66	1867.19	1639.66	0.0001	0.6	99	100	100	90	16.38	139.3	16.59	0	1396.38	0	-0.005	11	677	217	57	686.46	10853.47
