framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1468.49	1900.26	1468.49	0.0003	10	99	100	100	90	16.34	49.9	16.63	0	1380.82	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	5636	2.36	193581	61947	3	90.45	3.12	4886	104	1757.93	2252.15	1757.93	0.0001	6.6	97.4	100	100	90	16.58	59.8	19.93	0	1379.13	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1018	2.26	100009	34722	1	99.5	2.88	1503	115	1830.79	2016.18	1830.79	0.1459	0	92	100	99.2	90	17.95	49.8	9.13	0	1373.13	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	647	2.21	59808	15719	1	98.81	3.8	1499	115	1554.24	1822.18	1554.24	0.055	0	99	96	100	90	17.62	54.8	18.27	0	1387.61	0	0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.29	94.7	38.63	0	1442.86	39.9	0	4	321	234	67	154.88	17543.75
preact	True	646	2.18	27622	10088	1	100	2.74	1022	105	1360.54	1667.62	1360.54	0.0001	0	99.4	100	100	90	16.3	59.8	19.93	0	1391.53	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1080	2.25	91158	34628	13	100	2.63	1497	114	1417.19	2124.97	1417.19	0.6055	0	84	96	100	90	18.73	39.9	13.3	0	1382.46	0	-0.001	16	754	415	83	861.8	26425.59
react	True	1112	2.31	158538	50256	1	100	3.15	1021	105	1942.89	2247.34	1942.89	0.0001	86.2	95	100	100	90	18.54	39.9	13.3	0	1379.37	0	-0.004	13	762	438	90	634.69	24213.69
solid	True	945	2.18	26458	9243	1	100	2.86	1493	115	1387.74	1541.51	1387.74	0.0001	0	100	100	100	90	18.36	59.8	19.93	0	1400.75	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2554	2.27	117670	38613	11	68.6	3.05	1027	104	1665.34	2054.81	1665.34	0	0	98.2	100	96	90	18.12	40	13.33	0	1375.45	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1274.47	1540.57	1274.47	0.146	0	94	100	96	90	15.68	24.9	8.3	0	1369.27	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	550	2.17	17211	5999	1	96.97	2.87	1021	104	1206.49	1386.74	1206.49	0.0001	0	100	100	100	90	18.89	44.8	14.93	0	1406.58	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1188	2.23	76585	29349	1	100	2.61	1514	115	1628.28	1852.62	1628.28	0.0001	0	99	100	100	90	18.68	49.9	16.63	0	1372.12	0	-0.007	11	677	217	57	686.46	10853.47
