framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1759.81	1885.92	1759.81	0.0002	21.4	98.4	100	100	90	18.49	109.7	36.57	0	1076.33	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	5966	2.36	193581	61947	3	90.45	3.12	5087	104	1761.12	2287.26	1761.12	0.0001	9.8	97.2	100	100	90	16.82	104.5	34.83	0	1085.66	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	1069	2.26	100009	34722	1	99.5	2.88	1538	118	1835.58	2019.27	1835.58	0.1459	0.7	92	100	99.2	90	17.64	134.6	23.27	0	1076.94	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	687	2.21	59808	15719	1	98.81	3.8	1531	116	1551.19	1822.95	1551.19	0.055	0	99	96	100	90	18.1	94.5	31.5	0	1079.17	0	-0.005	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.75	164.4	50.26	0	1072.7	39.8	0.001	4	321	234	67	154.88	17543.75
preact	True	677	2.18	27622	10088	1	100	2.74	1023	105	1360.85	1667.97	1360.85	0.0001	0	99.8	100	100	90	18.19	94.7	31.57	0	1075.69	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1156	2.25	91158	34628	13	100	2.63	1533	116	1432.35	2127.15	1432.35	0.8071	0	79	96	100	90	18.46	129.1	43.03	0	1076.17	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1173	2.31	158538	50256	1	100	3.15	1023	106	1938.71	2243.16	1938.71	0.0001	33.4	96.6	100	100	90	18.32	139.5	46.5	0	1075.08	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1011	2.18	26458	9243	1	100	2.86	1530	118	1393.61	1549.02	1393.61	0.0001	0	99	100	100	90	18.45	134.6	44.87	0	1079.69	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2717	2.27	117668	38612	11	68.6	3.05	1027	105	1666.76	2116.3	1666.76	0	0	98	100	96	90	16.84	124.6	41.53	0	1053.84	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.19	1534.05	1247.19	0.1461	0	94	100	96	90	18.91	134.6	44.87	0	1066.04	0	-0.016	3	560	426	74	71.69	20768.9
vanjs	True	584	2.17	17211	5999	1	96.97	2.87	1023	105	1211.05	1396.58	1211.05	0.0001	0	100	100	100	90	18.42	144.5	48.17	0	1056.76	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1230	2.23	76585	29349	1	100	2.61	1535	117	1659.44	1855.16	1659.44	0.0001	0	99	100	100	90	17.82	129.5	43.17	0	1078.54	0	-0.006	11	677	217	57	686.46	10853.47
