framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1783.34	2037.53	1783.34	0.0002	25.75	98.2	100	100	90	12.87	99.5	33.17	0	1462.11	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	6427	2.36	193581	61947	3	90.45	3.12	5486	104	1759.37	2284.93	1759.37	0.0001	9.2	97.2	100	100	90	22	109.5	36.5	0	1401.01	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1144	2.26	100009	34722	1	99.5	2.88	1552	118	1832.28	2023.52	1832.28	0.1459	0	92	100	99.2	90	15.35	119.5	20.75	0	1429.58	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	734	2.21	59808	15719	1	98.81	3.8	1576	118	1551.04	1858.16	1551.04	0.055	0.8	99	96	100	90	14.63	89.6	29.87	0	1394.18	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	20.3	174	50.57	0	1440.62	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	743	2.18	27622	10088	1	100	2.74	1024	104	1359.02	1665.42	1359.02	0.0001	0	99.8	100	100	90	14.15	94.4	31.47	0	1378.85	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1239	2.25	91158	34628	13	100	2.63	1556	119	1416.4	2123.93	1416.4	0.6164	0	83.8	96	100	90	15.66	109.2	36.4	0	1462.59	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1260	2.31	158538	50256	1	100	3.15	1023	105	1947.83	2252.45	1947.83	0.0001	58.2	95.8	100	100	90	12.75	114.5	38.17	0	1380.18	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1106	2.18	26458	9243	1	100	2.86	1522	119	1363.66	1549.69	1363.66	0.0001	0	99.4	100	100	90	14.99	79.6	26.53	0	1380.91	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2928	2.27	117670	38611	11	68.6	3.05	1025	105	1670.79	2090.17	1754.05	0	0	98.2	100	96	90	14.99	69.8	23.27	0	1380.51	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1255.46	1555.88	1255.46	0.146	0	94	100	96	90	12.92	89.5	29.83	0	1382.74	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	664	2.17	17211	5999	1	96.97	2.87	1023	104	1213.43	1399.14	1213.43	0.0001	0	100	100	100	90	14.2	99.5	17.42	0	1379.09	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1338	2.23	76585	29349	1	100	2.61	1556	119	1624.52	1883.88	1624.52	0.0001	0.6	99	100	100	90	15.08	109.6	36.53	0	1400.95	0	-0.002	11	677	217	57	686.46	10853.47
