framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1574.62	1905.86	1574.62	0.0003	24.5	98.8	100	100	90	18.51	64.7	21.57	0	1442.29	0	-0.008	3	444	299	68	83.56	13776.09
angular	True	6380	2.36	193581	61947	3	90.45	3.12	5490	104	1759.56	2224.91	1759.56	0.0001	8.6	97.6	100	100	90	23.99	69.4	23.13	0	1387.81	0	0	13	859	484	89	616.31	29894.72
jquery	True	1136	2.26	100009	34722	1	99.5	2.88	1551	118	1839.99	2022.48	1839.99	0.1459	0	92	100	99.2	90	18.41	59.8	10.8	0	1379.27	0	-0.005	3	481	287	45	87.4	18604.14
lit	True	738	2.21	59808	15719	1	98.81	3.8	1559	118	1544.33	1848.6	1544.33	0.055	1.4	99	96	100	90	16.35	69.8	12.47	0	1382.41	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	21.04	124.6	46.87	0	1366.9	54.8	0	4	321	234	67	154.88	17543.75
preact	True	753	2.18	27622	10088	1	100	2.74	1023	104	1359.91	1664.86	1359.91	0.0001	0	100	100	100	90	19.86	64.7	21.57	0	1373.01	0	-0.002	12	776	461	101	585.8	25344.18
qwik	True	1218	2.25	91158	34628	13	100	2.63	1552	118	1416.55	2122.69	1416.55	0.8053	0	79	96	100	90	19.02	39.9	13.3	0	1401.03	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1266	2.31	158538	50256	1	100	3.15	1023	105	1942.6	2247.39	1942.6	0.0002	42.2	96.4	100	100	90	20.26	64.7	21.57	0	1371.25	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1091	2.18	26458	9243	1	100	2.86	1541	117	1388.3	1542.36	1388.3	0.0001	0	99.8	100	100	90	18.89	74.7	24.9	0	1378.61	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2878	2.27	117668	38609	11	68.6	3.05	1027	104	1668.31	2058.78	1668.31	0	0	98.4	100	96	90	20.4	54.8	9.97	0	1365.1	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1282.56	1536.68	1282.56	0.1461	0	94	100	96	90	16.15	64.7	21.57	0	1378.14	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	644	2.17	17211	5999	1	96.97	2.87	1023	104	1211.82	1395.53	1211.82	0.0001	0	100	100	100	90	19.48	64.8	21.6	0	1440.16	0	0.004	3	743	388	76	74.17	22895.14
vue	True	1302	2.23	76585	29349	1	100	2.61	1565	119	1628.47	1853.31	1628.47	0.0001	0	99	100	100	90	24.94	84.5	28.17	0	1385.63	0	-0.001	11	677	217	57	686.46	10853.47
