framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1665.23	2027.98	1665.23	0.0001	5.8	98.4	100	100	90	17.46	20	10	0	1107.67	30	-0.015	3	444	299	68	83.56	13776.09
angular	True	5144	2.36	193581	61947	3	90.45	3.12	4269	104	1753.33	2213.12	1753.33	0.0001	0	97.6	100	100	90	15.94	34.9	11.63	0	1102.06	0	-0.004	13	859	484	89	616.31	29894.72
jquery	True	906	2.26	100009	34722	1	99.5	2.88	1444	113	1826.75	2010.43	1826.75	0.1459	0	92	100	99.2	90	15.62	20	4.17	0	1084.54	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	583	2.21	59808	15719	1	98.81	3.8	1449	113	1539.99	1844.28	1539.99	0.055	0	99	96	100	90	15.79	20	6.67	0	1087.62	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	18.24	69.9	31.98	0	1076.81	29.9	-0.003	4	321	234	67	154.88	17543.75
preact	True	554	2.18	27622	10088	1	100	2.74	1019	104	1357.07	1630.6	1357.07	0.0001	0	100	100	100	90	14.24	40	13.33	0	1079.46	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	942	2.25	91158	34628	13	100	2.63	1435	112	1415.51	2119.87	1415.51	0.8056	0	79	96	100	90	19.59	64.8	21.6	0	1107.19	0	-0.006	16	754	415	83	861.8	26425.59
react	True	978	2.31	158538	50256	1	100	3.15	1023	105	1960.15	2265.23	1960.15	0.0001	0	97	100	100	90	15.34	35	11.67	0	1083.87	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	830	2.18	26458	9243	1	100	2.86	1418	114	1381.46	1534.7	1381.46	0.0001	0	100	100	100	90	13.29	35	11.67	0	1094.67	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2303	2.27	117668	38611	11	68.6	3.05	1020	104	1666.47	2054.12	1666.47	0	0	98.4	100	96	90	20.59	49.9	16.63	0	1077.68	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.98	1531.85	1238.98	0.146	0	94	100	96	90	15.5	20	4.17	0	1088.53	0	-0.017	3	560	426	74	71.69	20768.9
vanjs	True	493	2.17	17211	5999	1	96.97	2.87	1019	104	1209.49	1387.44	1209.49	0.0001	0	100	100	100	90	14.32	20	6.67	0	1076.88	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1029	2.23	76585	29349	1	100	2.61	1442	112	1686.04	1890.06	1686.04	0.0001	0	98.8	100	100	90	15.01	35	11.67	0	1096.02	0	-0.007	11	677	217	57	686.46	10853.47
