framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1760.32	2014.23	1760.32	0.0002	27.2	98.2	100	100	90	12.85	74.7	24.9	0	1414.13	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6368	2.36	193581	61947	3	90.45	3.12	5491	104	1759.32	2284.62	1759.32	0.0001	8.6	97.2	100	100	90	15.14	109.4	36.47	0	1420.2	0	-0.01	13	859	484	89	616.31	29894.72
jquery	True	1140	2.26	100009	34722	1	99.5	2.88	1540	119	1840.06	2022.98	1840.06	0.1459	0.6	92	100	99.2	90	15.18	89.6	29.87	0	1398.21	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	717	2.21	59808	15719	1	98.81	3.8	1568	120	1546.09	1851.33	1546.09	0.055	1.6	99	96	100	90	15.06	79.6	26.53	0	1459.16	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.78	144	48.91	0	1382.87	29.9	-0.002	4	321	234	67	154.88	17543.75
preact	True	734	2.18	27622	10088	1	100	2.74	1024	104	1358.87	1633.3	1358.87	0.0001	0	100	100	100	90	15.46	89.6	29.87	0	1394.11	5	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1216	2.25	91158	34628	13	100	2.63	1544	118	1402.48	2124.85	1402.48	0.8074	0	79	96	100	90	13.77	124.5	41.5	0	1443.93	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1252	2.31	158538	50256	1	100	3.15	1023	105	1958.33	2262.49	1958.33	0.0001	36	96.6	100	100	90	15.09	79.6	26.53	0	1391.78	0	-0.008	13	762	438	90	634.69	24213.69
solid	True	1090	2.18	26458	9243	1	100	2.86	1563	119	1389.08	1543.02	1389.08	0.0001	0	99.6	100	100	90	14.95	89.6	15.77	0	1396.34	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2876	2.27	117670	38613	11	68.6	3.05	1026	104	1668.38	2117.6	1668.38	0	0	98	100	96	90	13.82	99.5	33.17	0	1382.29	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.64	1540.45	1251.64	0.1461	0	94	100	96	90	13.68	114.5	19.92	0	1398.1	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	641	2.17	17211	5999	1	96.97	2.87	1024	104	1209.84	1392.35	1209.84	0.0001	0	100	100	100	90	13.43	114.6	19.93	0	1393.96	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1323	2.23	76585	29349	1	100	2.61	1542	118	1598.25	1852.97	1598.25	0.0001	0	99	100	100	90	13.04	119.4	39.8	0	1377.72	0	-0.005	11	677	217	57	686.46	10853.47
