framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1657.63	2010.49	1657.63	0.0002	11.8	98.4	100	100	90	13.63	54.8	18.27	0	1408.34	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	5733	2.36	193581	61947	3	90.45	3.12	4881	104	1760.91	2280.89	1760.91	0.0001	5	97.2	100	100	90	23.88	39.9	13.3	0	1382.79	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1021	2.26	100009	34722	1	99.5	2.88	1514	115	1832.06	2021.49	1832.06	0.1459	0	92	100	99.2	90	13.72	44.9	6.1	0	1376.31	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	654	2.21	59808	15719	1	98.81	3.8	1516	115	1547.03	1852.14	1547.03	0.055	1	99	96	100	90	15.63	54.9	18.3	0	1377.56	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	20.31	79.7	39.04	0	1374.47	34.8	0	4	321	234	67	154.88	17543.75
preact	True	645	2.18	27622	10088	1	100	2.74	1022	104	1361.33	1670.89	1361.33	0.0001	0	99.6	100	100	90	14.1	54.8	18.27	0	1429.14	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1092	2.25	91158	34628	13	100	2.63	1513	115	1401.98	2123.88	1401.98	0.8056	0	79	96	100	90	13.49	49.9	9.15	0	1386.24	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1134	2.31	158538	50256	1	100	3.15	1021	105	1946.73	2251.59	1946.73	0.0001	102.3	94.6	100	100	90	14.93	30	10	0	1380.66	0	-0.003	13	762	438	90	634.69	24213.69
solid	True	949	2.18	26458	9243	1	100	2.86	1513	115	1358.3	1543.45	1358.3	0.0001	0	99.8	100	100	90	15.31	35	6.67	0	1361.61	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2583	2.27	117670	38612	11	68.6	3.05	1029	104	1667.39	2115.8	1667.39	0	0	98	100	96	90	15.48	30	10	0	1373.23	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1265.34	1522.32	1265.34	0.146	0	94	100	96	90	13.62	54.8	18.27	0	1383.07	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	553	2.17	17211	5999	1	96.97	2.87	1021	104	1211.85	1395.18	1211.85	0.0001	0	100	100	100	90	13.77	54.8	18.27	0	1365.75	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1175	2.23	76585	29349	1	100	2.61	1524	114	1660.24	1856.16	1660.24	0.0001	0	99	100	100	90	15.24	39.9	13.3	0	1370.89	0	-0.003	11	677	217	57	686.46	10853.47
