framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1665.82	2020.59	1665.82	0.0002	23.4	98.4	100	100	90	13.63	69.8	23.27	0	1085.47	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6418	2.36	193581	61947	3	90.45	3.12	5503	104	1758.87	2224.17	1758.87	0.0001	8.8	97.6	100	100	90	16.26	89.7	15.78	0	1080.04	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1172	2.26	100009	34722	1	99.5	2.88	1570	120	1828.68	2029.71	1828.68	0.1459	0	92	100	99.2	90	19.22	59.6	19.87	0	1074.23	0	-0.017	3	481	287	45	87.4	18604.14
lit	True	767	2.21	59808	15719	1	98.81	3.8	1583	119	1547.97	1854.26	1547.97	0.055	1.4	99	96	100	90	14.05	49.8	16.6	0	1067.79	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	25.77	99.6	44.37	0	1071.96	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	770	2.18	27622	10088	1	100	2.74	1024	104	1358.85	1663.27	1358.85	0.0001	0	100	100	100	90	12.43	64.8	11.63	0	1059.64	0	-0.009	12	776	461	101	585.8	25344.18
qwik	True	1275	2.25	91158	34628	13	100	2.63	1569	120	1416.78	2123.43	1416.78	0.8056	0	79	96	100	90	13.86	79.7	14.12	0	1084.81	0	-0.006	16	754	415	83	861.8	26425.59
react	True	1281	2.31	158538	50256	1	100	3.15	1023	105	1938.52	2243.18	1938.52	0.0002	61.6	95.8	100	100	90	16.13	49.8	16.6	0	1079.75	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1116	2.18	26458	9243	1	100	2.86	1565	119	1385.49	1547.04	1385.49	0.0001	0	99.4	100	100	90	17.37	74.7	13.28	0	1075.98	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2930	2.27	117670	38612	11	68.6	3.05	1028	104	1670.64	2058.69	1670.64	0	0	98.2	100	96	90	16.36	74.7	24.9	0	1052.95	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1243.82	1538.49	1243.82	0.146	0	94	100	96	90	17.79	49.8	16.6	0	1063.02	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	666	2.17	17211	5999	1	96.97	2.87	1024	104	1221.98	1430.05	1221.98	0.0001	0	100	100	100	90	16.58	89.5	29.83	0	1055.92	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1359	2.23	76585	29349	1	100	2.61	1549	117	1660.85	1856.67	1660.85	0.0001	0	99	100	100	90	17.69	129.5	43.17	0	1079	0	-0.005	11	677	217	57	686.46	10853.47
