framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1656.01	1878.25	1656.01	0.0002	6.2	98.6	100	100	90	15.26	114.6	19.93	0	1406.12	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	4908	2.32	158642	51430	1	100	3.08	4269	104	1958.19	2304.08	1958.19	0.0001	0	97	100	100	90	17.99	94.7	16.62	0	1393.73	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1059	2.17	11475	3814	1	100	3.01	1864	107	1208.82	1508.82	1208.82	0	0	100	100	100	90	16.61	94.6	31.53	0	1381.2	0	-0.007	4	546	372	73	159.38	18153.98
geajs	True	734	2.19	32881	9964	1	98.43	3.3	1016	104	1538.15	1693.43	1538.15	0.0001	0	99	100	100	90	19.34	114.6	38.2	0	1447.17	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	878	2.26	100009	34722	1	99.5	2.88	1025	106	1822.49	2012.84	1822.49	0.1459	0	92	100	99.2	90	16.9	94.6	31.53	0	1390.79	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	561	2.21	59808	15719	1	98.81	3.8	1017	104	1540.42	1845.63	1540.42	0.055	0	99	96	100	90	16.99	84.8	14.97	0	1387.12	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1209.68	1678.94	1209.68	0.0002	0	100	100	100	100	18.89	94.6	31.53	0	1406.41	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	1579	2.3	148231	46596	1	100	3.18	1016	104	1987.41	2261.72	1987.41	0.0001	0	97	100	100	90	14.92	124.4	41.47	0	1381.78	0	-0.009	12	741	421	89	579.82	24098.68
preact	True	560	2.18	27622	10088	1	100	2.74	1017	104	1361	1638	1361	0.0001	0	99.8	100	100	90	19.1	124.5	21.58	0	1371.56	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	943	2.25	91158	34628	13	100	2.63	1024	105	1416.53	2121.24	1416.53	0.4038	0.67	89	96	100	90	17.39	139.5	46.5	0	1393.42	0	-0.005	16	754	415	83	861.8	26425.59
react	True	968	2.31	158538	50256	1	100	3.15	1018	104	1947.97	2261.25	1947.97	0.0001	50.2	96	100	100	90	15.41	84.7	28.23	0	1379.97	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	852	2.18	26458	9243	1	100	2.86	1018	104	1353.39	1536.79	1353.39	0.0001	0	100	100	100	90	18.87	109.5	36.5	0	1385.84	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2207	2.27	117670	38611	11	68.6	3.05	1372	117	1663.82	2091.77	1663.82	0	0	98.2	100	96	90	19.08	124.5	41.5	0	1376.61	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1234.83	1518.7	1234.83	0.146	0	94	100	96	90	17.06	134.6	44.87	0	1384.83	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	501	2.17	17211	5999	1	96.97	2.87	1018	104	1210.47	1387.3	1210.47	0.0001	0	100	100	100	90	18.35	119.5	39.83	0	1379.71	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1013	2.23	76585	29349	1	100	2.61	1017	104	1659.93	1848.29	1659.93	0.0001	0	99	100	100	90	14.78	124.6	41.53	0	1382.11	0	-0.005	11	677	217	57	686.46	10853.47
