framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1468.1	1885.97	1468.1	0.0002	5.8	99	100	100	90	14.68	49.8	16.6	0	1382.76	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4919	2.36	193581	61947	3	90.45	3.12	4063	103	1754.29	2239.62	1754.29	0.0001	0	97.4	100	100	90	15.75	39.8	7.47	0	1404	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	885	2.26	100009	34722	1	99.5	2.88	1430	114	1821.96	2009.54	1821.96	0.1167	0	93.2	100	99.2	90	15.62	49.8	16.6	0	1388.77	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	564	2.21	59808	15719	1	98.81	3.8	1437	114	1538.87	1843.6	1538.87	0.055	0	99	96	100	90	19.76	54.7	18.23	0	1437.36	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	19.05	99.4	37.36	0	1373.48	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	563	2.18	27622	10088	1	100	2.74	1019	103	1356.49	1659.73	1356.49	0.0001	0	100	100	100	90	14.04	54.8	9.97	0	1429.1	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	952	2.25	91158	34628	13	100	2.63	1393	114	1415.45	2118.72	1415.45	0.4038	0	89	96	100	90	15.83	49.8	16.6	0	1401.68	0	-0.003	16	754	415	83	861.8	26425.59
react	True	987	2.31	158538	50256	1	100	3.15	1018	104	1937.09	2241.13	1937.09	0.0001	71.5	95.4	100	100	90	20	64.8	21.6	0	1386.79	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	865	2.18	26458	9243	1	100	2.86	1392	114	1383.43	1537.04	1383.43	0.0001	0	100	100	100	90	14.11	49.8	9.13	0	1379.41	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2239	2.27	117668	38614	11	68.6	3.05	1019	104	1662.1	2080.37	1662.1	0	0	98.2	100	96	90	12.97	44.8	14.93	0	1367.39	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1238.8	1537.07	1238.8	0.146	0	94	100	96	90	14.19	25	8.33	0	1436.85	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	497	2.17	17211	5999	1	96.97	2.87	1018	103	1207.26	1382.69	1207.26	0.0001	0	100	100	100	90	15.39	44.8	14.93	0	1381.59	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1014	2.23	76585	29349	1	100	2.61	1420	114	1657.43	1844.95	1657.43	0.0001	0	99	100	100	90	14.86	54.8	18.27	0	1368.42	0	-0.004	11	677	217	57	686.46	10853.47
