framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1469.44	2025.56	1469.44	0.0002	28.6	98.8	100	100	90	18.3	109.4	36.47	0	1076.2	0	-0.017	3	444	299	68	83.56	13776.09
angular	True	6399	2.36	193581	61947	3	90.45	3.12	5504	104	1759.38	2284.7	1759.38	0.0001	8.6	97.2	100	100	90	14.3	99.6	33.2	0	1080.62	0	-0.006	13	859	484	89	616.31	29894.72
jquery	True	1155	2.26	100009	34722	1	99.5	2.88	1571	118	1837.64	2020.96	1837.64	0.1459	0	92	100	99.2	90	17.2	99.6	17.43	0	1084.27	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	733	2.21	59808	15719	1	98.81	3.8	1565	118	1545.46	1850.38	1545.46	0.055	4.2	99	96	100	90	20.47	104.5	34.83	0	1081.17	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	23.79	139.1	48.07	0	1054.72	39.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	743	2.18	27622	10088	1	100	2.74	1024	104	1359.07	1663.61	1359.07	0.0001	0	99.8	100	100	90	21.48	94.6	31.53	0	1067.21	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1231	2.25	91158	34628	13	100	2.63	1548	119	1403.56	2127.57	1403.56	0.5939	0	84	96	100	90	20.5	104.4	34.8	0	1073.02	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1266	2.31	158538	50256	1	100	3.15	1023	105	1939.21	2243.62	1939.21	0.0002	45.7	96.2	100	100	90	20.26	99	33	0	1079.19	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1127	2.18	26458	9243	1	100	2.86	1583	119	1360.63	1545.65	1360.63	0.0001	0	99.8	100	100	90	20.6	119.5	39.83	0	1063.59	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2928	2.27	117670	38614	11	68.6	3.05	1026	104	1669.72	2088.94	1669.72	0	0	98.2	100	96	90	18.73	119.5	39.83	0	1043.92	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.71	1543.15	1247.71	0.146	0	94	100	96	90	19.52	94.5	31.5	0	1065.77	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	653	2.17	17211	5999	1	96.97	2.87	1023	104	1210.79	1393.78	1210.79	0.0001	0	100	100	100	90	19.96	109.4	36.47	0	1067.68	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1346	2.23	76585	29349	1	100	2.61	1558	118	1661.84	1858.16	1661.84	0.0001	0	99	100	100	90	13.49	29.9	9.97	0	1067.84	0	-0.006	11	677	217	57	686.46	10853.47
