framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1777	2038.13	1777	0.0002	34.2	98.2	100	100	90	18.35	124.5	41.5	0	1083.09	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6502	2.36	193581	61947	3	90.45	3.12	5499	104	1759.93	2225.52	1759.93	0.0001	9	97.6	100	100	90	18.38	129.4	43.13	0	1072.73	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	1180	2.26	100009	34722	1	99.5	2.88	1583	120	1811.3	2005.05	1811.3	0.1459	0.7	92.2	100	99.2	90	17.59	129.1	43.03	0	1081.54	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	768	2.21	59808	15719	1	98.81	3.8	1603	121	1551.22	1858.04	1551.22	0.055	5.6	99	96	100	90	17.31	134.4	44.8	0	1073.57	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.32	168.8	52.62	0	1067.37	44.8	-0.004	4	321	234	67	154.88	17543.75
preact	True	771	2.18	27622	10088	1	100	2.74	1024	104	1361.63	1609.15	1361.63	0.0001	0	99.6	100	100	90	16.88	119.5	39.83	0	1063.68	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1259	2.25	91158	34628	13	100	2.63	1566	119	1418.37	2127.93	1418.37	1.0071	0	74	96	100	90	16.64	104.5	34.83	0	1070.6	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1317	2.31	158538	50256	1	100	3.15	1023	105	1939.63	2244.04	1939.63	0.0002	37.6	96.6	100	100	90	17.64	128.8	42.93	0	1086.04	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1147	2.18	26458	9243	1	100	2.86	1552	119	1361.41	1546.91	1361.41	0.0001	0	99.6	100	100	90	16.9	129.4	22.4	0	1079.11	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2923	2.27	117670	38613	11	68.6	3.05	1031	104	1671.61	2059.53	1671.61	0	0	98.2	100	96	90	17.25	139.4	46.47	0	1045.48	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.66	1535.35	1249.66	0.1461	0	94	100	96	90	17.48	84.6	28.2	0	1069.22	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	690	2.17	17211	5999	1	96.97	2.87	1024	104	1209.95	1393.12	1209.95	0.0001	0	100	100	100	90	16.83	119.2	39.73	0	1062.21	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1346	2.23	76585	29349	1	100	2.61	1570	119	1658.46	1855.49	1658.46	0.0001	0	99	100	100	90	18.3	144.3	48.1	0	1064.94	0	-0.006	11	677	217	57	686.46	10853.47
