framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.2	2012.85	1758.2	0.0002	28.4	98.2	100	100	90	15.05	134.5	44.83	0	1384.64	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6314	2.36	193581	61947	3	90.45	3.12	5491	104	1759.58	2285.09	1759.58	0.0001	9	97.2	100	100	90	15.28	119.5	39.83	0	1379.73	0	-0.002	13	859	484	89	616.31	29894.72
jquery	True	1142	2.26	100009	34722	1	99.5	2.88	1537	117	1826.37	2024.35	1826.37	0.1459	0	92	100	99.2	90	15.64	114.5	38.17	0	1389.08	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	725	2.21	59808	15719	1	98.81	3.8	1552	118	1548.77	1854.66	1548.77	0.055	2	99	96	100	90	19.05	119.5	39.83	0	1371.66	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.22	184.1	50.16	0	1377.36	39.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	733	2.18	27622	10088	1	100	2.74	1024	104	1362.48	1638.73	1362.48	0.0001	0	99.6	100	100	90	14.82	124.4	21.57	0	1397.54	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1210	2.25	91158	34628	13	100	2.63	1549	120	1431.8	2123.67	1431.8	0.7953	0	79	96	100	90	19.75	129.5	43.17	0	1444.47	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1239	2.31	158538	50256	1	100	3.15	1023	105	1942.77	2248.65	1942.77	0.0002	33.1	96.6	100	100	90	15.32	114.4	38.13	0	1382.84	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1078	2.18	26458	9243	1	100	2.86	1554	119	1357.9	1541.56	1357.9	0.0001	0	99.8	100	100	90	13.88	119.4	20.73	0	1365.12	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2852	2.27	117670	38610	11	68.6	3.05	1025	104	1671.58	2092.65	1671.58	0	0	98.2	100	96	90	16.52	134.4	23.23	0	1361.93	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1246.82	1547.7	1246.82	0.146	0	94	100	96	90	15.61	129.4	43.13	0	1372.51	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	634	2.17	17211	5999	1	96.97	2.87	1023	104	1213.67	1398.3	1213.67	0.0001	0	100	100	100	90	18.59	124.4	41.47	0	1359.71	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1323	2.23	76585	29349	1	100	2.61	1554	117	1660	1855.8	1660	0.0001	0	99	100	100	90	13.07	119.5	39.83	0	1370.98	0	-0.004	11	677	217	57	686.46	10853.47
