framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1680.58	1907.7	1680.58	0.0002	23.7	98.6	100	100	90	22.4	99.7	33.23	0	1389.91	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	6376	2.36	193581	61947	3	90.45	3.12	5298	104	1760.45	2316.62	1760.45	0.0001	10.2	97	100	100	90	27.01	79.7	26.57	0	1389.27	0	-0.001	13	859	484	89	616.31	29894.72
jquery	True	1145	2.26	100009	34722	1	99.5	2.88	1555	119	1822.17	2036.16	1822.17	0.1459	0	92	100	99.2	90	24.34	94.6	16.6	0	1372.98	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	735	2.21	59808	15719	1	98.81	3.8	1548	119	1561.73	1833.36	1561.73	0.055	2.2	99	96	100	90	20.69	129.4	43.13	0	1367.87	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.02	169	50.15	0	1393.53	39.8	0.002	4	321	234	67	154.88	17543.75
preact	True	729	2.18	27622	10088	1	100	2.74	1023	104	1359.49	1666.34	1359.49	0.0001	0	99.8	100	100	90	24.23	94.6	31.53	0	1383.1	0	-0.001	12	776	461	101	585.8	25344.18
qwik	True	1243	2.25	91158	34628	13	100	2.63	1517	118	1433.71	2130.93	1433.71	1.0568	0	74	96	100	90	25.37	104.4	34.8	0	1388.13	0	-0.002	16	754	415	83	861.8	26425.59
react	True	1299	2.31	158538	50256	1	100	3.15	1023	105	1962.19	2268.29	1962.19	0.0002	6.2	97	100	100	90	21.84	119.6	39.87	0	1430.8	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1101	2.18	26458	9243	1	100	2.86	1557	120	1391.78	1545.77	1391.78	0.0001	0	99.6	100	100	90	22.57	104.6	18.27	0	1380.56	0	-0.001	12	786	458	98	581.44	26202.05
svelte	True	2899	2.27	117668	38607	11	68.6	3.05	1027	105	1668.99	2088.3	1668.99	0	0	98.2	100	96	90	22.07	79.5	26.5	0	1372.43	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.55	1544.87	1244.55	0.1461	0	94	100	96	90	21.39	74.7	13.28	0	1362.79	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	645	2.17	17211	5999	1	96.97	2.87	1025	104	1209.82	1395.92	1209.82	0.0001	0	100	100	100	90	22.52	94.5	16.58	0	1366.21	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1309	2.23	76585	29349	1	100	2.61	1536	119	1659.18	1857.17	1659.18	0.0001	0	99	100	100	90	22.28	94.6	31.53	0	1367.44	0	-0.002	11	677	217	57	686.46	10853.47
