framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1666.03	1893.15	1666.03	0.0002	23.5	98.6	100	100	90	18.67	129.3	22.38	0	1376.24	0	-0.014	3	444	299	68	83.56	13776.09
angular	True	6423	2.36	193581	61947	3	90.45	3.12	5702	104	1760.05	2285.74	1760.05	0.0001	9.2	97.2	100	100	90	27.3	129.4	43.13	0	1378.77	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1152	2.26	100009	34722	1	99.5	2.88	1547	118	1842.83	2025.04	1842.83	0.1459	0	92	100	99.2	90	19.35	134.4	44.8	0	1369.64	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	740	2.21	59808	15719	1	98.81	3.8	1587	118	1550.37	1857.36	1550.37	0.055	1.6	99	96	100	90	17.66	94.6	16.6	0	1374.16	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	30	179	50.14	0	1380.1	34.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	733	2.18	27622	10088	1	100	2.74	1024	104	1358.12	1662.18	1358.12	0.0001	0	100	100	100	90	18.13	104.5	34.83	0	1423.65	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1241	2.25	91158	34628	13	100	2.63	1571	119	1432.14	2123.86	1432.14	0.6164	0	83.8	96	100	90	19.52	149.3	49.77	0	1450.4	0	-0.003	16	754	415	83	861.8	26425.59
react	True	1280	2.31	158538	50256	1	100	3.15	1023	106	1939.99	2244.28	1939.99	0.0001	35.3	96.6	100	100	90	17.14	134.1	44.7	0	1378.5	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1102	2.18	26458	9243	1	100	2.86	1545	120	1389.3	1543.46	1389.3	0.0001	0	99.8	100	100	90	19.44	144.2	24.87	0	1389.86	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2905	2.27	117668	38610	11	68.6	3.05	1035	105	1668.19	2086.3	1668.19	0	0	98.2	100	96	90	17.83	134.4	44.8	0	1404.39	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1249.96	1547.01	1249.96	0.1461	0	94	100	96	90	15.09	134.1	23.18	0	1365.23	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	641	2.17	17211	5999	1	96.97	2.87	1023	104	1209.82	1392.13	1209.82	0.0001	0	100	100	100	90	17.88	139.2	46.4	0	1377.27	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1310	2.23	76585	29349	1	100	2.61	1563	118	1657.91	1852.46	1657.91	0.0001	0	99	100	100	90	17.39	144.3	48.1	0	1377.38	0	-0.005	11	677	217	57	686.46	10853.47
