framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1774.28	2030	1774.28	0.0002	31.5	98.2	100	100	90	18.26	124.3	41.43	0	1408.77	0	-0.01	3	444	299	68	83.56	13776.09
angular	True	6526	2.36	193581	61947	3	90.45	3.12	5496	104	1761.53	2288.71	1761.53	0.0001	12.2	97.2	100	100	90	25.49	49.7	16.57	0	1408.68	0	-0.002	13	859	484	89	616.31	29894.72
jquery	True	1186	2.26	100009	34722	1	99.5	2.88	1558	119	1826.95	2034.41	1826.95	0.1459	0	92	100	99.2	90	14.94	74.7	13.28	0	1395.25	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	763	2.21	59808	15719	1	98.81	3.8	1609	119	1551.82	1858.93	1551.82	0.055	4.4	99	96	100	90	18.38	59.6	19.87	0	1381.96	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.36	104.4	50.14	0	1388.8	39.8	-0.001	4	321	234	67	154.88	17543.75
preact	True	777	2.18	27622	10088	1	100	2.74	1024	105	1357.45	1661.18	1357.45	0.0001	0	100	100	100	90	18.37	54.6	18.2	0	1380.33	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1254	2.25	91158	34628	13	100	2.63	1578	119	1417.83	2126.46	1417.83	0.604	0	84	96	100	90	18.55	109.5	36.5	0	1392.13	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1323	2.31	158538	50256	1	100	3.15	1023	106	1925.91	2230.96	1925.91	0.0002	137.4	93.8	100	100	90	18.77	53.8	17.93	0	1399.09	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1184	2.18	26458	9243	1	100	2.86	1558	118	1392.16	1546.94	1392.16	0.0001	0	99.4	100	100	90	16.82	99.5	17.42	0	1378.24	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3099	2.27	117670	38612	11	68.6	3.05	1026	104	1671.44	2062.41	1671.44	0	1.9	98.2	100	96	90	18.98	79.7	26.57	0	1399.47	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1254.17	1557.56	1254.17	0.146	0	94	100	96	90	18.81	124.5	41.5	0	1398.11	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	666	2.17	17211	5999	1	96.97	2.87	1026	105	1208.04	1391.66	1208.04	0.0001	0	100	100	100	90	17.5	34.8	11.6	0	1372.33	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1346	2.23	76585	29349	1	100	2.61	1561	120	1660.61	1858.31	1660.61	0.0001	0	99	100	100	90	18.27	89.6	29.87	0	1380.47	0	-0.002	11	677	217	57	686.46	10853.47
