framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1759.21	2017.09	1759.21	0.0002	21	98.2	100	100	90	12.53	94.6	31.53	0	1075.54	0	-0.018	3	444	299	68	83.56	13776.09
angular	True	6230	2.36	193581	61947	3	90.45	3.12	5293	104	1758.72	2253.43	1758.72	0.0001	7.4	97.4	100	100	90	14.17	104.6	18.27	0	1073.36	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1131	2.26	100009	34722	1	99.5	2.88	1542	119	1831.17	2020.15	1831.17	0.1459	0	92	100	99.2	90	12.99	129.4	43.13	0	1065.21	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	736	2.21	59808	15719	1	98.81	3.8	1552	117	1547.85	1853.88	1547.85	0.055	2.6	99	96	100	90	13.24	119.5	39.83	0	1071.66	0	-0.004	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	24.43	189.1	56.41	0	1068.24	44.8	-0.006	4	321	234	67	154.88	17543.75
preact	True	719	2.18	27622	10088	1	100	2.74	1024	105	1358.63	1632.94	1358.63	0.0001	0	100	100	100	90	14.39	119.5	39.83	0	1060.1	0	-0.006	12	776	461	101	585.8	25344.18
qwik	True	1209	2.25	91158	34628	13	100	2.63	1550	119	1433.12	2127.54	1433.12	0.9991	0	74	96	100	90	13.45	124.5	41.5	0	1084.28	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1209	2.31	158538	50256	1	100	3.15	1023	105	1941.01	2246.31	1941.01	0.0002	40.7	96.4	100	100	90	14.33	109.6	36.53	0	1072.3	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1086	2.18	26458	9243	1	100	2.86	1501	119	1390.8	1545.9	1390.8	0.0001	0	99.6	100	100	90	14.21	109.5	19.08	0	1060.67	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2822	2.27	117668	38608	11	68.6	3.05	1033	104	1666.05	2115.29	1666.05	0	0	98	100	96	90	12.81	119.5	39.83	0	1045.75	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1242.75	1542.8	1242.75	0.146	0	94	100	96	90	13.71	104.4	34.8	0	1073.91	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	643	2.17	17211	5999	1	96.97	2.87	1024	104	1211.75	1394.82	1211.75	0.0001	0	100	100	100	90	13.1	119.5	39.83	0	1052.3	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1304	2.23	76585	29349	1	100	2.61	1594	119	1658.31	1854.07	1658.31	0.0001	0	99	100	100	90	12.91	84.6	28.2	0	1077	0	-0.007	11	677	217	57	686.46	10853.47
