framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.1	2016.7	1758.1	0.0002	26.8	98.2	100	100	90	21.59	139.3	46.43	0	1376.31	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	6623	2.36	193581	61947	3	90.45	3.12	5698	105	1764.96	2287.87	1764.96	0.0001	11.2	97.2	100	100	90	21.61	148.9	49.63	0	1421.16	0	-0.008	13	859	484	89	616.31	29894.72
jquery	True	1167	2.26	100009	34722	1	99.5	2.88	1567	118	1837.66	2028.79	1837.66	0.1459	0.4	92	100	99.2	90	19.39	124.3	22.38	0	1384.32	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	746	2.21	59808	15719	1	98.81	3.8	1580	120	1547.64	1852.66	1547.64	0.055	1.8	99	96	100	90	21.42	119.4	39.8	0	1368.99	0	0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.31	159.1	48.92	0	1368.41	34.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	755	2.18	27622	10088	1	100	2.74	1025	105	1361.3	1668.95	1361.3	0.0001	0	99.6	100	100	90	19.45	134.2	23.2	0	1391.73	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1258	2.25	91158	34628	13	100	2.63	1595	120	1431.22	2123.31	1431.22	1.0092	0	74	96	100	90	19.38	114.5	38.17	0	1435.93	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1307	2.31	158538	50256	1	100	3.15	1023	106	1947.83	2252.85	1947.83	0.0001	80.4	95.2	100	100	90	21.31	129.3	22.38	0	1369.35	0	-0.002	13	762	438	90	634.69	24213.69
solid	True	1143	2.18	26458	9243	1	100	2.86	1588	118	1370.28	1554.21	1370.28	0.0001	0	100	100	100	90	21.97	124.5	21.58	0	1366.96	0	-0.002	12	786	458	98	581.44	26202.05
svelte	True	2998	2.27	117670	38611	11	68.6	3.05	1027	105	1671.03	2088.02	1671.03	0	0	98.2	100	96	90	19.18	119.5	39.83	0	1369.61	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1315.16	1541.68	1315.16	0.1461	0	94	100	96	90	21.61	109.4	36.47	0	1372.79	0	-0.006	3	560	426	74	71.69	20768.9
vanjs	True	675	2.17	17211	5999	1	96.97	2.87	1023	104	1214.61	1400.11	1214.61	0.0001	0	100	100	100	90	19.25	99.5	17.42	0	1362.88	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1331	2.23	76585	29349	1	100	2.61	1586	119	1628.54	1855.82	1628.54	0.0001	0	99	100	100	90	21.94	134.3	44.77	0	1378.73	0	-0.001	11	677	217	57	686.46	10853.47
