framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1371.24	1910.28	1371.24	0.0003	24	99.2	100	100	90	17.36	114.3	38.1	0	1092.62	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6778	2.36	193581	61947	3	90.45	3.12	5695	104	1765.75	2260.06	1765.75	0.0001	13.4	97.4	100	100	90	13.58	64.8	21.6	0	1075.63	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	1215	2.26	100009	34722	1	99.5	2.88	1602	119	1827.58	2005.67	1827.58	0.1459	0	92.2	100	99.2	90	16.58	79.6	26.53	0	1067.41	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	786	2.21	59808	15719	1	98.81	3.8	1610	120	1547.94	1853.1	1547.94	0.055	6	99	96	100	90	17.47	99.7	33.23	0	1062.23	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26	79.6	48.1	0	1073.23	44.8	-0.003	4	321	234	67	154.88	17543.75
preact	True	798	2.18	27622	10088	1	100	2.74	1025	105	1359.5	1634.25	1359.5	0.0001	0	99.8	100	100	90	14.59	59.8	10.8	0	1076.28	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1339	2.25	91158	34628	13	100	2.63	1601	119	1434.09	2129.2	1434.09	1.0046	0	74	96	100	90	17.42	59.7	19.9	0	1086.07	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1324	2.31	158538	50256	1	100	3.15	1028	105	1922.04	2227.25	1922.04	0.0002	54	96.2	100	100	90	13.2	49.8	16.6	0	1077.38	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1175	2.18	26458	9243	1	100	2.86	1592	120	1366.37	1550.15	1366.37	0.0001	0	100	100	100	90	17.42	74.6	13.27	0	1076.59	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	3102	2.27	117670	38613	11	68.6	3.05	1026	105	1673.39	2123	1673.39	0	0	98	100	96	90	12.73	74.7	24.9	0	1050.84	0	-0.006	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1279.25	1551.93	1279.25	0.146	0	94	100	96	90	13.54	44.8	14.93	0	1071.53	0	-0.019	3	560	426	74	71.69	20768.9
vanjs	True	678	2.17	17211	5999	1	96.97	2.87	1025	104	1213.12	1399.28	1213.12	0.0001	0	100	100	100	90	17.49	79.7	26.57	0	1072.85	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1430	2.23	76585	29349	1	100	2.61	1580	121	1658.45	1856.28	1658.45	0.0001	0	99	100	100	90	12.75	54.8	18.27	0	1076.22	0	-0.007	11	677	217	57	686.46	10853.47
