framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1368	1884.86	1368	0.0003	3.1	99.2	100	100	90	17.77	54.9	18.3	0	1407.57	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	5071	2.32	158642	51430	1	100	3.08	4485	104	1956.9	2304.55	1956.9	0.0001	0	97	100	100	90	15.09	55	18.33	0	1458.66	0	-0.005	13	764	424	88	631.62	27036.12
astro	True	1092	2.17	11475	3814	1	100	3.01	1869	108	1208.17	1508.17	1208.17	0.0001	0	100	100	100	90	19.48	99.8	33.27	0	1393.67	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	794	2.19	32881	9964	1	98.43	3.3	1017	105	1538.95	1694.83	1538.95	0.0001	0	99	100	100	90	19.15	89.8	29.93	0	1425.1	0	-0.004	13	713	452	91	678.96	24340.98
jquery	True	921	2.26	100009	34722	1	99.5	2.88	1027	106	1816.69	2014.23	1816.69	0.1459	0	92	100	99.2	90	15.2	44.9	8.32	0	1402.23	0	-0.008	3	481	287	45	87.4	18604.14
lit	True	587	2.21	59808	15719	1	98.81	3.8	1018	104	1543.1	1848.46	1543.1	0.055	0	99	96	100	90	12.88	45	15	0	1406.48	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.39	1704.12	1213.39	0.0001	0	100	100	100	100	19.27	74.7	24.9	0	1425	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1675	2.3	148231	46596	1	100	3.18	1017	105	1992.67	2262.4	1992.67	0.0001	0	97	100	100	90	15.79	39.9	13.3	0	1398.18	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	597	2.18	27622	10088	1	100	2.74	1020	104	1358.42	1664.43	1358.42	0.0001	0	99.8	100	100	90	13.78	50	16.67	0	1398.19	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1008	2.25	91158	34628	13	100	2.63	1025	106	1431.09	2120.8	1431.09	0.6021	0	84	96	100	90	19.49	69.8	23.27	0	1395.4	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1024	2.31	158538	50256	1	100	3.15	1020	105	1945.86	2249.49	1945.86	0.0001	84.6	95	100	100	90	15.36	54.9	18.3	0	1407.45	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	867	2.18	26458	9243	1	100	2.86	1019	104	1356.84	1541.06	1356.84	0.0001	0	99.8	100	100	90	17.49	104.7	18.28	0	1422.98	0	-0.006	12	786	458	98	581.44	26202.05
svelte	True	2308	2.27	117670	38609	11	68.6	3.05	1392	117	1665.97	2084.57	1665.97	0	0	98.2	100	96	90	18	64.9	21.63	0	1389.11	0	0.008	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1240.78	1538.04	1240.78	0.146	0	94	100	96	90	23.3	69.8	23.27	0	1410	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	520	2.17	17211	5999	1	96.97	2.87	1019	104	1209.07	1390.6	1209.07	0.0001	0	100	100	100	90	21.09	84.8	28.27	0	1389	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1048	2.23	76585	29349	1	100	2.61	1018	104	1656.89	1848.14	1656.89	0.0001	0	99	100	100	90	19.22	79.7	26.57	0	1433.9	0	-0.003	11	677	217	57	686.46	10853.47
