framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.88	2028.62	1767.88	0.0002	27.4	98.2	100	100	90	20.27	138.5	23.92	0	1391.62	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6412	2.32	158642	51430	1	100	3.08	5693	105	1958.27	2316.41	1958.27	0.0001	7.2	97	100	100	90	21.25	114.3	38.1	0	1437.59	15	-0.005	13	764	424	88	631.62	27036.12
astro	True	1395	2.17	11475	3814	1	100	3.01	2297	109	1209.34	1509.34	1209.34	0.0001	0	100	100	100	90	20.06	143.9	47.97	0	1379.04	0	-0.007	4	546	372	73	159.38	18153.98
geajs	True	937	2.19	32881	9964	1	98.43	3.3	1020	106	1541.53	1697.1	1541.53	0.0001	5.2	99	100	100	90	15.04	124.4	41.47	0	1409.48	0	-0.015	13	713	452	91	678.96	24340.98
jquery	True	1176	2.26	100009	34722	1	99.5	2.88	1034	107	1821.08	2018.72	1821.08	0.1459	0	92	100	99.2	90	16.58	99.1	33.03	0	1385.39	0	-0.011	3	481	287	45	87.4	18604.14
lit	True	725	2.21	59808	15719	1	98.81	3.8	1023	105	1551.32	1857.98	1551.32	0.055	1.4	99	96	100	90	13.43	119.4	39.8	0	1375.98	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1211.82	1694.17	1211.82	0.0002	0	100	100	100	100	16.79	84.6	28.2	0	1402.26	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	2081	2.3	148231	46596	1	100	3.18	1022	105	2002.99	2268.58	2002.99	0.0002	0	97	100	100	90	17.03	124.4	41.47	0	1385.95	0	-0.008	12	741	421	89	579.82	24098.68
preact	True	728	2.18	27622	10088	1	100	2.74	1024	105	1365.23	1648.74	1365.23	0.0001	0	99.4	100	100	90	19.44	144.2	48.07	0	1399.52	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1224	2.25	91158	34628	13	100	2.63	1031	107	1432.94	2126.13	1432.94	0.9914	0	74	96	100	90	15.3	129.3	43.1	0	1413.73	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1325	2.31	158538	50256	1	100	3.15	1023	105	1963.85	2270.78	1963.85	0.0002	5.4	97	100	100	90	15.18	129.5	43.17	0	1384.21	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1100	2.18	26458	9243	1	100	2.86	1023	105	1392.24	1548.76	1392.24	0.0001	0	99.4	100	100	90	18.7	128.4	22.23	0	1365.89	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2890	2.27	117668	38611	11	68.6	3.05	1714	122	1672.37	2123.36	1672.37	0	0	98	100	96	90	15.11	119.4	39.8	0	1367.92	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1279.27	1542.23	1279.27	0.1461	0	94	100	96	90	19.08	139.5	24.08	0	1397.89	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	654	2.17	17211	5999	1	96.97	2.87	1024	105	1209.12	1395.48	1209.12	0.0001	0	100	100	100	90	13.69	134.2	44.73	0	1373.02	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1384	2.23	76585	29349	1	100	2.61	1024	105	1659.66	1855.09	1659.66	0.0001	0	99	100	100	90	14.28	119.5	39.83	0	1393.87	0	-0.004	11	677	217	57	686.46	10853.47
