framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1766.55	2023.69	1766.55	0.0001	21	98.2	100	100	90	21.28	119.5	20.75	0	1386.84	0	-0.009	3	444	299	68	83.56	13776.09
angular	True	6144	2.36	193581	61947	3	90.45	3.12	5084	104	1757.17	2250.85	1757.17	0.0001	5.6	97.4	100	100	90	29.91	124.5	41.5	0	1382.9	0	-0.001	13	859	484	89	616.31	29894.72
jquery	True	1110	2.26	100009	34722	1	99.5	2.88	1540	118	1833.63	2026.25	1833.63	0.1459	0.7	92	100	99.2	90	19.62	129.4	22.4	0	1387.12	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	727	2.21	59808	15719	1	98.81	3.8	1532	119	1544.92	1849.48	1544.92	0.055	1	99	96	100	90	21.47	119.5	39.83	0	1386.43	0	0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	27.52	184.2	55.17	0	1381.3	39.8	-0.002	4	321	234	67	154.88	17543.75
preact	True	720	2.18	27622	10088	1	100	2.74	1025	104	1359.64	1634.46	1359.64	0.0001	0	99.8	100	100	90	18.82	129.4	22.4	0	1397.82	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1185	2.25	91158	34628	13	100	2.63	1540	118	1431.15	2122.75	1431.15	0.8073	0	79	96	100	90	29.25	94.6	16.6	0	1383.41	0	0.004	16	754	415	83	861.8	26425.59
react	True	1240	2.31	158538	50256	1	100	3.15	1022	105	1961.13	2266.7	1961.13	0.0002	3	97	100	100	90	22.08	149.4	49.8	0	1375.12	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1081	2.18	26458	9243	1	100	2.86	1530	119	1393.05	1547.58	1393.05	0.0001	0	99.2	100	100	90	19.71	124.4	41.47	0	1379.78	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2781	2.27	117670	38613	11	68.6	3.05	1028	104	1668.36	2059.97	1668.36	0	0	98.4	100	96	90	21.5	129.4	43.13	0	1364.95	0	0	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1243.32	1543.55	1243.32	0.146	0	94	100	96	90	21.46	124.4	41.47	0	1375.36	0	-0.012	3	560	426	74	71.69	20768.9
vanjs	True	637	2.17	17211	5999	1	96.97	2.87	1024	104	1215.12	1401.28	1215.12	0.0001	0	100	100	100	90	19.49	89.6	29.87	0	1353.75	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1282	2.23	76585	29349	1	100	2.61	1552	118	1659.57	1855.36	1659.57	0.0001	0	99	100	100	90	21.55	124.2	21.53	0	1369.8	0	-0.002	11	677	217	57	686.46	10853.47
