framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1470.46	1894.19	1470.46	0.0001	29.9	99	100	100	90	24.48	79.7	26.57	0	1386.28	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6150	2.32	158642	51430	1	100	3.08	5500	105	1959.73	2316.39	1959.73	0.0001	2.2	97	100	100	90	27.9	79.6	26.53	0	1395.49	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1367	2.17	11475	3814	1	100	3.01	2295	109	1208.4	1508.4	1208.4	0.0001	0	100	100	100	90	16.73	74.7	24.9	0	1382.98	0	-0.004	4	546	372	73	159.38	18153.98
geajs	True	962	2.19	32881	9964	1	98.43	3.3	1021	105	1544.59	1701.08	1544.59	0.0001	2.2	99	100	100	90	20.03	104.4	34.8	0	1399.42	0	-0.005	13	713	452	91	678.96	24340.98
jquery	True	1112	2.26	100009	34722	1	99.5	2.88	1033	107	1822.6	2017.29	1822.6	0.1459	0	92	100	99.2	90	17.53	89.6	11.07	0	1383.98	0	-0.01	3	481	287	45	87.4	18604.14
lit	True	721	2.21	59808	15719	1	98.81	3.8	1022	105	1552.42	1860.04	1552.42	0.055	4	99	96	100	90	21.66	109.6	36.53	0	1449.27	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1219.18	1707.47	1219.18	0.0001	0	100	100	100	100	21.18	84.5	28.17	0	1388.33	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	2002	2.3	148231	46596	1	100	3.18	1021	105	1998.35	2265.22	1998.35	0.0002	0	97	100	100	90	20.52	124.4	21.57	0	1406.23	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	730	2.18	27622	10088	1	100	2.74	1023	105	1360.34	1635.52	1360.34	0.0001	0	99.8	100	100	90	20.99	79.7	26.57	0	1380.05	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1224	2.25	91158	34628	13	100	2.63	1030	107	1417.81	2126.02	1417.81	1.0091	0	74	96	100	90	17.61	84.6	28.2	0	1386.14	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1230	2.31	158538	50256	1	100	3.15	1023	105	1948.15	2253.92	1948.15	0.0002	81.6	95.2	100	100	90	20.66	59.7	19.9	0	1388.81	0	-0.017	13	762	438	90	634.69	24213.69
solid	True	1114	2.18	26458	9243	1	100	2.86	1022	105	1389.55	1544.12	1389.55	0.0001	0	99.8	100	100	90	19.45	89.7	29.9	0	1382.99	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	2814	2.27	117668	38608	11	68.6	3.05	1661	121	1669.51	2057.72	1669.51	0	0.5	98.2	100	96	90	16.58	59.8	19.93	0	1389.89	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.38	1546.57	1241.38	0.146	0	94	100	96	90	18.34	79.7	26.57	0	1379.86	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	643	2.17	17211	5999	1	96.97	2.87	1023	105	1218.5	1425.09	1218.5	0.0001	0	100	100	100	90	16.36	79.6	14.1	0	1390.11	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1322	2.23	76585	29349	1	100	2.61	1022	105	1658.37	1854.36	1658.37	0.0001	0	99	100	100	90	18.67	89.6	29.87	0	1385.98	0	-0.004	11	677	217	57	686.46	10853.47
