framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1763.49	2018	1763.49	0.0002	29.6	98.2	100	100	90	14.57	54.7	18.23	0	1394.4	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	6321	2.36	193581	61947	3	90.45	3.12	5475	104	1761.7	2258.84	1761.7	0.0001	12	97.4	100	100	90	23.33	74.7	24.9	0	1383.34	0	-0.003	13	859	484	89	616.31	29894.72
jquery	True	1158	2.26	100009	34722	1	99.5	2.88	1552	119	1868.86	2048.39	1868.86	0.1459	0	91.8	100	99.2	90	15.06	59.7	10.78	0	1389.93	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	745	2.21	59808	15719	1	98.81	3.8	1571	117	1550.19	1857.18	1550.19	0.055	3.8	99	96	100	90	14.84	64.8	21.6	0	1374.96	0	0	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	23.54	134.4	46.02	0	1375.86	44.6	-0.001	4	321	234	67	154.88	17543.75
preact	True	756	2.18	27622	10088	1	100	2.74	1024	104	1364.76	1676.04	1364.76	0.0001	0	99.2	100	100	90	17.45	69.7	12.45	0	1385.3	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	1231	2.25	91158	34628	13	100	2.63	1568	118	1431.85	2122.99	1431.85	1.0014	0	74	96	100	90	19.03	59.8	19.93	0	1381.23	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1268	2.31	158538	50256	1	100	3.15	1023	105	1941.99	2247.59	1941.99	0.0002	45.9	96.2	100	100	90	15.48	59.4	19.8	0	1382.68	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1102	2.18	26458	9243	1	100	2.86	1571	118	1330.49	1545.63	1330.49	0.0001	0	99.8	100	100	90	17.18	89.6	29.87	0	1361.84	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2872	2.27	117670	38611	11	68.6	3.05	1028	105	1667.49	2089.99	1667.49	0	0	98.2	100	96	90	18.28	64.7	21.57	0	1354.98	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1247.89	1549.72	1247.89	0.146	0	94	100	96	90	13.1	44.8	14.93	0	1373.83	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	640	2.17	17211	5999	1	96.97	2.87	1024	104	1209.03	1393.55	1209.03	0.0001	0	100	100	100	90	18.78	89.6	29.87	0	1375.64	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1334	2.23	76585	29349	1	100	2.61	1567	118	1627.99	1852.99	1627.99	0.0001	0	99	100	100	90	18.29	74.7	13.28	0	1427.68	0	-0.005	11	677	217	57	686.46	10853.47
