framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1661.83	1885.27	1661.83	0.0002	8.8	98.6	100	100	90	19.66	89.7	15.78	0	1105.46	0	-0.013	3	444	299	68	83.56	13776.09
angular	True	5322	2.36	193581	61947	3	90.45	3.12	4674	104	1754.56	2245.88	1754.56	0.0001	1.2	97.4	100	100	90	30.98	64.9	21.63	0	1122.33	0	-0.005	13	859	484	89	616.31	29894.72
jquery	True	894	2.26	100009	34722	1	99.5	2.88	1463	114	1823.3	2014.45	1823.3	0.1459	0	92	100	99.2	90	16.52	20	6.67	0	1088.38	0	-0.013	3	481	287	45	87.4	18604.14
lit	True	590	2.21	59808	15719	1	98.81	3.8	1483	114	1540.06	1843.68	1540.06	0.055	13.4	98.8	96	100	90	30.58	15	5	0	1098.88	0	0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	22.32	69.9	34.07	0	1086.05	29.9	0	4	321	234	67	154.88	17543.75
preact	True	625	2.18	27622	10088	1	100	2.74	1020	104	1359.35	1664.03	1359.35	0.0001	0	100	100	100	90	14.72	20	6.67	0	1092.26	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	984	2.25	91158	34628	13	100	2.63	1474	115	1430.7	2121.5	1430.7	0.4021	0	89	96	100	90	28	44.9	14.97	0	1093.62	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1094	2.31	158538	50256	1	100	3.15	1020	105	1958.32	2262.48	1958.32	0.0002	0	97	100	100	90	16.39	25	5	0	1080.25	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	891	2.18	26458	9243	1	100	2.86	1451	113	1384.02	1537.62	1384.02	0.0001	0	99.8	100	100	90	23.27	20	4.17	0	1087.6	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2381	2.27	117668	38608	11	68.6	3.05	1022	104	1666.65	2085.12	1666.65	0	0	98.2	100	96	90	15.84	30	10	0	1071.39	0	0.011	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1244.24	1545.98	1244.24	0.146	0	94	100	96	90	29.11	84.9	29.97	0	1115.38	0	-0.007	3	560	426	74	71.69	20768.9
vanjs	True	521	2.17	17211	5999	1	96.97	2.87	1020	104	1209.15	1388.92	1209.15	0.0001	0	100	100	100	90	20.55	10	3.33	0	1112.38	0	0.005	3	743	388	76	74.17	22895.14
vue	True	1042	2.23	76585	29349	1	100	2.61	1470	114	1659.44	1853.55	1659.44	0.0001	0	99	100	100	90	28.13	94.7	31.57	0	1082.06	0	-0.005	11	677	217	57	686.46	10853.47
