framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1775.13	2039.38	1775.13	0.0002	29.8	98.2	100	100	90	14.59	49.8	16.6	0	1080.54	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	6652	2.36	193581	61947	3	90.45	3.12	5695	104	1760.01	2286.26	1760.01	0.0001	10.6	97.2	100	100	90	16.86	79.5	26.5	0	1081.33	0	-0.01	13	859	484	89	616.31	29894.72
jquery	True	1195	2.26	100009	34722	1	99.5	2.88	1588	118	1838.74	2022.31	1838.74	0.1459	0	92	100	99.2	90	16.83	59.8	10.8	0	1081.38	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	775	2.21	59808	15719	1	98.81	3.8	1596	119	1551.07	1857.3	1551.07	0.055	2.2	99	96	100	90	16.32	99.6	33.2	0	1067.69	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	26.53	143.8	51.37	0	1079.03	44.7	-0.004	4	321	234	67	154.88	17543.75
preact	True	762	2.18	27622	10088	1	100	2.74	1025	105	1360.26	1667.69	1360.26	0.0001	0	99.8	100	100	90	17.42	84.7	14.95	0	1064.72	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1266	2.25	91158	34628	13	100	2.63	1587	119	1433.82	2129.58	1433.82	0.5957	0	83.8	96	100	90	18.11	89.5	29.83	0	1068.48	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1306	2.31	158538	50256	1	100	3.15	1023	105	1944.02	2250.03	1944.02	0.0002	86.2	95	100	100	90	17.86	84.6	28.2	0	1064.73	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	1142	2.18	26458	9243	1	100	2.86	1582	120	1392	1546	1392	0.0001	0	99.2	100	100	90	16.52	84.6	14.93	0	1075.22	0	-0.007	12	786	458	98	581.44	26202.05
svelte	True	2980	2.27	117670	38609	11	68.6	3.05	1036	104	1670.96	2087.97	1670.96	0	1.5	98.2	100	96	90	16.73	69.7	23.23	0	1045.56	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1276.37	1553.23	1276.37	0.146	0	94	100	96	90	17.75	64.6	17.42	0	1071.39	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	669	2.17	17211	5999	1	96.97	2.87	1025	104	1214.23	1400.95	1214.23	0.0001	0	100	100	100	90	15.22	59.8	19.93	0	1067.3	0	0.002	3	743	388	76	74.17	22895.14
vue	True	1362	2.23	76585	29349	1	100	2.61	1613	119	1640.58	1870.17	1640.58	0.0001	0	99	100	100	90	17.18	94.7	31.57	0	1065.81	0	-0.007	11	677	217	57	686.46	10853.47
