framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1765.16	2023.2	1765.16	0.0002	27.6	98.2	100	100	90	18.72	44.8	14.93	0	1400.51	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6610	2.32	158642	51430	1	100	3.08	5692	105	1957.73	2316.79	1957.73	0.0001	8.4	97	100	100	90	27.2	99.6	33.2	0	1449.32	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	1433	2.17	11475	3814	1	100	3.01	2316	110	1207.62	1507.62	1207.62	0.0001	0	100	100	100	90	18.71	79.7	26.57	0	1381	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	978	2.19	32881	9964	1	98.43	3.3	1021	106	1541.82	1696.63	1541.82	0.0001	6.4	99	100	100	90	18.35	84.5	28.17	0	1394.2	0	-0.01	13	713	452	91	678.96	24340.98
jquery	True	1154	2.26	100009	34722	1	99.5	2.88	1033	107	1839.63	2024.95	1839.63	0.1459	0	92	100	99.2	90	18.25	69.6	23.2	0	1390.65	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	755	2.21	59808	15719	1	98.81	3.8	1023	105	1551.17	1857.85	1551.17	0.055	2.2	99	96	100	90	14.94	44.8	14.93	0	1372.67	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1188.35	1719.39	1188.35	0.0001	0	100	100	100	100	17.87	54.7	7.19	0	1379.74	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	2080	2.3	148231	46596	1	100	3.18	1022	105	1998.95	2264.63	1998.95	0.0002	0	97	100	100	90	18.04	79.5	14.08	0	1389.53	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	750	2.18	27622	10088	1	100	2.74	1023	105	1359.64	1666.35	1359.64	0.0001	0	99.8	100	100	90	18.73	84.7	14.95	0	1382.89	0	-0.003	12	776	461	101	585.8	25344.18
qwik	True	1249	2.25	91158	34628	13	100	2.63	1031	107	1433.64	2128.56	1433.64	0.8073	0	79	96	100	90	17.7	74.7	24.9	0	1388	0	-0.005	16	754	415	83	861.8	26425.59
react	True	1299	2.31	158538	50256	1	100	3.15	1024	105	1947.23	2252.94	1947.23	0.0001	67.6	95.6	100	100	90	17.98	109.5	36.5	0	1451.29	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	1116	2.18	26458	9243	1	100	2.86	1023	105	1390.83	1544.95	1390.83	0.0001	0	99.8	100	100	90	18.28	64.7	21.57	0	1374.67	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2920	2.27	117668	38607	11	68.6	3.05	1752	122	1666.81	2061.26	1666.81	0	0	98.4	100	96	90	14.52	49.8	16.6	0	1375.39	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1248.91	1543.27	1248.91	0.1461	0	94	100	96	90	17.52	79.6	14.1	0	1383.2	0	-0.009	3	560	426	74	71.69	20768.9
vanjs	True	660	2.17	17211	5999	1	96.97	2.87	1024	105	1211.68	1396.52	1211.68	0.0001	0	100	100	100	90	16.54	89.5	15.75	0	1368.1	0	0	3	743	388	76	74.17	22895.14
vue	True	1363	2.23	76585	29349	1	100	2.61	1023	105	1658.69	1855.63	1658.69	0.0001	0	99	100	100	90	18.51	99.3	33.1	0	1390.55	0	-0.004	11	677	217	57	686.46	10853.47
