framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1774.6	2038.6	1774.6	0.0002	25.8	98.2	100	100	90	21.49	79.7	26.57	0	1256.57	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	6645	2.32	158642	51430	1	100	3.08	5501	105	1959.84	2325.16	1959.84	0.0001	13.8	97	100	100	90	28.63	79.5	26.5	0	1236.93	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1467	2.17	11475	3814	1	100	3.01	2500	111	1178.64	1508.64	1178.64	0.0001	0	100	100	100	90	20.93	79.5	26.5	0	1239.22	0	-0.003	4	546	372	73	159.38	18153.98
geajs	True	992	2.19	32881	9964	1	98.43	3.3	1022	106	1522.04	1708.36	1522.04	0.0001	4	99	100	100	90	21.15	99.4	33.13	0	1279.99	0	-0.014	13	713	452	91	678.96	24340.98
jquery	True	1210	2.26	100009	34722	1	99.5	2.88	1031	108	1854.38	2033.47	1854.38	0.1459	0.3	92	100	99.2	90	18.55	104.5	34.83	0	1241.32	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	771	2.21	59808	15719	1	98.81	3.8	1024	105	1555.62	1860.83	1555.62	0.055	2.6	99	96	100	90	17.84	99.5	33.17	0	1250.45	0	-0.005	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1181.85	1712.35	1181.85	0.0001	0	100	100	100	100	21.55	79.5	14.08	0	1259.36	0	-0.006	4	321	234	67	154.88	17543.75
octane	True	2137	2.3	148231	46596	1	100	3.18	1022	106	2013.86	2271.69	2013.86	0.0002	0.4	96.8	100	100	90	18.09	104.5	18.25	0	1253.78	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	782	2.18	27622	10088	1	100	2.74	1024	105	1361.21	1669.12	1361.21	0.0001	0	99.8	100	100	90	21.08	114.2	38.07	0	1237.97	0	-0.007	12	776	461	101	585.8	25344.18
qwik	True	1290	2.25	91158	34628	13	100	2.63	1033	107	1433.43	2127.28	1441.73	0.7992	0	79	96	100	90	18.53	124.3	41.43	0	1247.34	0	-0.008	16	754	415	83	861.8	26425.59
react	True	1332	2.31	158538	50256	1	100	3.15	1024	106	1942.61	2247.41	1942.61	0.0002	104.4	94.4	100	100	90	21.2	129.2	43.07	0	1248.86	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	1143	2.18	26458	9243	1	100	2.86	1025	106	1399.26	1555.39	1399.26	0.0001	0	99.4	100	100	90	21.55	99.3	33.1	0	1244.39	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	3038	2.27	117668	38609	11	68.6	3.05	1813	121	1670.6	2118.79	1670.6	0	0	98	100	96	90	21.7	83.8	27.93	0	1224.85	0	-0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1250.92	1544.76	1250.92	0.1461	0	94	100	96	90	18.07	134.2	23.2	0	1255.71	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	680	2.17	17211	5999	1	96.97	2.87	1025	106	1216.13	1408.99	1216.13	0.0001	0	100	100	100	90	19.22	134.4	23.23	0	1229.61	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1401	2.23	76585	29349	1	100	2.61	1025	105	1632.44	1869.46	1632.44	0.0001	1.4	99	100	100	90	19.26	99.3	33.1	0	1238.42	0	-0.007	11	677	217	57	686.46	10853.47
