framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1555.89	2010.83	1555.89	0.0002	0.2	98.6	100	100	90	17.97	69.9	23.3	0	1104.82	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	4521	2.36	193581	61947	3	90.45	3.12	3652	103	1751.24	2234.76	1751.24	0.0001	0	97.4	100	100	90	13.65	40	13.33	0	1093.66	0	-0.007	13	859	484	89	616.31	29894.72
jquery	True	750	2.26	100009	34722	1	99.5	2.88	1365	111	1828.09	2002.13	1828.09	0.1459	0	92	100	99.2	90	24.65	40	13.33	0	1107.94	0	-0.004	3	481	287	45	87.4	18604.14
lit	True	469	2.21	59808	15719	1	98.81	3.8	1392	111	1538.2	1843.1	1538.2	0.055	0	99	96	100	90	14.27	20	6.67	0	1081.19	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	31.27	64.9	29.49	0	1071.73	24.9	-0.002	4	321	234	67	154.88	17543.75
preact	True	488	2.18	27622	10088	1	100	2.74	1017	104	1363.54	1670.31	1363.54	0.0001	0	99.8	100	100	90	17.73	114.7	38.23	0	1094.8	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	785	2.25	91158	34628	13	100	2.63	1376	112	1430.64	2119.15	1430.64	0.3855	0	89	96	100	90	17.8	59.9	19.97	0	1091.47	0	-0.007	16	754	415	83	861.8	26425.59
react	True	824	2.31	158538	50256	1	100	3.15	1016	104	1958.03	2262.04	1958.03	0.0001	0	97	100	100	90	17.5	44.9	14.97	0	1088.05	0	-0.007	13	762	438	90	634.69	24213.69
solid	True	691	2.18	26458	9243	1	100	2.86	1359	113	1351.28	1534.93	1351.28	0.0001	0	100	100	100	90	13.49	10	3.33	0	1090.67	0	-0.008	12	786	458	98	581.44	26202.05
svelte	True	1988	2.27	117668	38611	11	68.6	3.05	1017	104	1663.75	2113.63	1663.75	0	0	98	100	96	90	14.35	39.9	13.3	0	1074.7	0	0.009	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1232.69	1523.52	1232.69	0.1459	0	94	100	96	90	14.52	40	13.33	0	1078	0	-0.018	3	560	426	74	71.69	20768.9
vanjs	True	404	2.17	17211	5999	1	96.97	2.87	1017	104	1207.96	1383.34	1207.96	0.0001	0	100	100	100	90	21.63	44.9	14.97	0	1086.13	0	0.002	3	743	388	76	74.17	22895.14
vue	True	850	2.23	76585	29349	1	100	2.61	1375	111	1656.45	1842.48	1656.45	0.0001	0	99	100	100	90	17.36	84.7	28.23	0	1084.85	0	-0.006	11	677	217	57	686.46	10853.47
