framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1563.39	1881.34	1563.39	0.0002	0.8	98.8	100	100	90	18.26	69.7	23.23	0	1432.14	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	4537	2.32	158642	51430	1	100	3.08	3659	104	1956.47	2296.5	1956.47	0.0001	0	97	100	100	90	18.9	49.8	16.6	0	1437.88	0	-0.003	13	764	424	88	631.62	27036.12
astro	True	912	2.17	11475	3814	1	100	3.01	1464	107	1206.2	1506.2	1206.2	0.0001	0	100	100	100	90	19.75	79.7	26.57	0	1429.31	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	667	2.19	32881	9964	1	98.43	3.3	1013	104	1533.63	1688.94	1533.63	0.0001	0	99	100	100	90	17.47	44.8	14.93	0	1405.7	0	-0.012	13	713	452	91	678.96	24340.98
jquery	True	824	2.26	100009	34722	1	99.5	2.88	1022	108	1818.7	2004.25	1818.7	0.1459	0	92	100	99.2	90	15.5	39.9	13.3	0	1448.36	0	-0.009	3	481	287	45	87.4	18604.14
lit	True	506	2.21	59808	15719	1	98.81	3.8	1016	104	1536.97	1841.96	1536.97	0.055	0	99	96	100	90	18.6	59.8	19.93	0	1447.59	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.03	1679.56	1213.03	0.0002	0	100	100	100	100	18.93	34.9	13.3	0	1413.39	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	1305	2.3	148231	46596	1	100	3.18	1013	104	1987.31	2263.36	1987.31	0.0001	0	97	100	100	90	18.09	49.8	16.6	0	1400.42	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	515	2.18	27622	10088	1	100	2.74	1015	104	1357.02	1660.53	1357.02	0.0001	0	100	100	100	90	18.25	79.7	14.12	0	1426.59	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	869	2.25	91158	34628	13	100	2.63	1020	104	1430.28	2117.71	1430.28	0.2019	0	94	96	100	90	19.33	59.8	19.93	0	1442.52	0	-0.004	16	754	415	83	861.8	26425.59
react	True	851	2.31	158538	50256	1	100	3.15	1016	105	1939.56	2252.13	1939.56	0.0001	79.5	95.2	100	100	90	18.52	39.9	13.3	0	1422.45	0	-0.006	13	762	438	90	634.69	24213.69
solid	True	756	2.18	26458	9243	1	100	2.86	1015	104	1377.59	1529.79	1377.59	0.0001	0	100	100	100	90	18.2	49.8	16.6	0	1427.06	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	1979	2.27	117668	38607	11	68.6	3.05	1355	115	1662.92	2054.38	1662.92	0	2.6	98.4	100	96	90	17.68	69.8	23.27	0	1392.5	0	-0.005	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1231.14	1521.18	1231.14	0.146	0	94	100	96	90	13.65	40	13.33	0	1417.45	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	441	2.17	17211	5999	1	96.97	2.87	1017	104	1208	1382.99	1208	0.0001	0	100	100	100	90	17.29	39.9	13.3	0	1419.98	0	0.002	3	743	388	76	74.17	22895.14
vue	True	913	2.23	76585	29349	1	100	2.61	1015	104	1628.85	1844.28	1628.85	0.0001	0	99	100	100	90	13.64	44.8	14.93	0	1431.54	0	-0.005	11	677	217	57	686.46	10853.47
