framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1461.99	1880.03	1461.99	0.0002	1.2	99	100	100	90	49.36	10	3.33	0	1412.62	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	4353	2.32	158642	51430	1	100	3.08	3851	104	1955.41	2297.31	1955.41	0.0001	0	97	100	100	90	25.96	0	0	0	1445.19	29.9	-0.003	13	764	424	88	631.62	27036.12
astro	True	902	2.17	11475	3814	1	100	3.01	1665	109	1207.87	1507.87	1207.87	0.0001	0	100	100	100	90	17.55	84.8	31.6	0	1412.89	0	0	4	546	372	73	159.38	18153.98
geajs	True	665	2.19	32881	9964	1	98.43	3.3	1016	105	1504.23	1688.55	1504.23	0.0001	0	99	100	100	90	36.9	10	2.5	0	1431.32	0	-0.009	13	713	452	91	678.96	24340.98
jquery	True	800	2.26	100009	34722	1	99.5	2.88	1022	106	1818.16	2004.77	1818.16	0.1459	23.2	92	100	99.2	90	26.78	29.9	11.63	0	1423.86	0	-0.006	3	481	287	45	87.4	18604.14
lit	True	493	2.21	59808	15719	1	98.81	3.8	1016	104	1536.38	1839.88	1536.38	0.055	0	99	96	100	90	16.33	35	11.67	0	1454.26	0	-0.001	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1209.63	1687.94	1209.63	0.0002	0	100	100	100	100	23.94	25	8.33	0	1404.9	0	-0.003	4	321	234	67	154.88	17543.75
octane	True	1348	2.3	148231	46596	1	100	3.18	1015	106	1955.36	2229.84	1955.36	0	0	97	100	100	90	32.79	25	5	0	1405.07	0	-0.007	12	741	421	89	579.82	24098.68
preact	True	500	2.18	27622	10088	1	100	2.74	1017	104	1356.39	1629.59	1356.39	0.0001	0	100	100	100	90	30.78	20	6.67	0	1381.73	0	-0.005	12	776	461	101	585.8	25344.18
qwik	True	815	2.25	91158	34628	13	100	2.63	1021	105	1414.47	2116.44	1414.47	0.4044	0	89	96	100	90	23.4	25	15	0	1457.61	5	-0.003	16	754	415	83	861.8	26425.59
react	True	833	2.31	158538	50256	1	100	3.15	1016	105	1942.63	2268.2	1942.63	0.0001	393.75	90.5	100	100	90	38.96	39.9	16.63	0	1419.03	20	-0.005	13	762	438	90	634.69	24213.69
solid	True	711	2.18	26458	9243	1	100	2.86	1016	104	1382.94	1536.4	1382.94	0.0001	0	100	100	100	90	23.92	30	5.83	0	1431.67	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2157	2.27	117670	38603	11	68.6	3.05	1329	115	1664.46	2023.2	1664.46	0	0.9	98.6	100	96	90	15	15	3.33	0	1395.09	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1234.8	1495.53	1234.8	0.1459	0	94	100	96	90	13.35	15	4.17	0	1425.66	0	-0.013	3	560	426	74	71.69	20768.9
vanjs	True	410	2.17	17211	5999	1	96.97	2.87	1017	104	1208.7	1386.86	1208.7	0.0001	0	100	100	100	90	22.6	64.9	26.63	0	1420.87	15	0.001	3	743	388	76	74.17	22895.14
vue	True	973	2.23	76585	29349	1	100	2.61	1016	104	1656.14	1842.01	1656.14	0.0001	0	99	100	100	90	17.19	59.8	19.93	0	1416.39	0	-0.005	11	677	217	57	686.46	10853.47
